"","x"
"342","knuckle sandwich"
"343","knuckle under"
"344","labor of love"
"345","ladder of success"
"346","land on your feet"
"347","lap of luxury"
"348","last but not least"
"349","last hurrah"
"350","last-ditch effort"
"351","law of the jungle"
"352","law of the land"
"353","lay down the law"
"354","leaps and bounds"
"355","let sleeping dogs lie"
"356","let the cat out of the bag"
"357","let the good times roll"
"358","let your hair down"
"359","let\'s talk turkey"
"360","letter perfect"
"361","lick your wounds"
"362","lies like a rug"
"363","life\'s a bitch"
"364","life\'s a grind"
"365","light at the end of the tunnel"
"366","lighter than a feather"
"367","lighter than air"
"368","like clockwork"
"369","like father like son"
"370","like taking candy from a baby"
"371","like there\'s no tomorrow"
"372","lion\'s share"
"373","live and learn"
"374","live and let live"
"375","long and short of it"
"376","long lost love"
"377","look before you leap"
"378","look down your nose"
"379","look what the cat dragged in"
"380","looking a gift horse in the mouth"
"381","looks like death warmed over"
"382","loose cannon"
"383","lose your head"
"384","lose your temper"
"385","loud as a horn"
"386","lounge lizard"
"387","loved and lost"
"388","low man on the totem pole"
"389","luck of the draw"
"390","luck of the Irish"
"391","make hay while the sun shines"
"392","make money hand over fist"
"393","make my day"
"394","make the best of a bad situation"
"395","make the best of it"
"396","make your blood boil"
"397","man of few words"
"398","man\'s best friend"
"399","mark my words"
"400","meaningful dialogue"
"401","missed the boat on that one"
"402","moment in the sun"
"403","moment of glory"
"404","moment of truth"
"405","money to burn"
"406","more power to you"
"407","more than one way to skin a cat"
"408","movers and shakers"
"409","moving experience"
"410","naked as a jaybird"
"411","naked truth"
"412","neat as a pin"
"413","needle in a haystack"
"414","needless to say"
"415","neither here nor there"
"416","never look back"
"417","never say never"
"418","nip and tuck"
"419","nip it in the bud"
"420","no guts, no glory"
"421","no love lost"
"422","no pain, no gain"
"423","no skin off my back"
"424","no stone unturned"
"425","no time like the present"
"426","no use crying over spilled milk"
"427","nose to the grindstone"
"428","not a hope in hell"
"429","not a minute\'s peace"
"430","not in my backyard"
"431","not playing with a full deck"
"432","not the end of the world"
"433","not written in stone"
"434","nothing to sneeze at"
"435","nothing ventured nothing gained"
"436","now we\'re cooking"
"437","off the top of my head"
"438","off the wagon"
"439","off the wall"
"440","old hat"
"441","older and wiser"
"442","older than dirt"
"443","older than Methuselah"
"444","on a roll"
"445","on cloud nine"
"446","on pins and needles"
"447","on the bandwagon"
"448","on the money"
"449","on the nose"
"450","on the rocks"
"451","on the spot"
"452","on the tip of my tongue"
"453","on the wagon"
"454","on thin ice"
"455","once bitten, twice shy"
"456","one bad apple doesn\'t spoil the bushel"
"457","one born every minute"
"458","one brick short"
"459","one foot in the grave"
"460","one in a million"
"461","one red cent"
"462","only game in town"
"463","open a can of worms"
"464","open and shut case"
"465","open the flood gates"
"466","opportunity doesn\'t knock twice"
"467","out of pocket"
"468","out of sight, out of mind"
"469","out of the frying pan into the fire"
"470","out of the woods"
"471","out on a limb"
"472","over a barrel"
"473","over the hump"
"474","pain and suffering"
"475","pain in the"
"476","panic button"
"477","par for the course"
"478","part and parcel"
"479","party pooper"
"480","pass the buck"
"481","patience is a virtue"
"482","pay through the nose"
"483","penny pincher"
"484","perfect storm"
"485","pig in a poke"
"486","pile it on"
"487","pillar of the community"
"488","pin your hopes on"
"489","pitter patter of little feet"
"490","plain as day"
"491","plain as the nose on your face"
"492","play by the rules"
"493","play your cards right"
"494","playing the field"
"495","playing with fire"
"496","pleased as punch"
"497","plenty of fish in the sea"
"498","point with pride"
"499","poor as a church mouse"
"500","pot calling the kettle black"
"501","pretty as a picture"
"502","pull a fast one"
"503","pull your punches"
"504","pulling your leg"
"505","pure as the driven snow"
"506","put it in a nutshell"
"507","put one over on you"
"508","put the cart before the horse"
"509","put the pedal to the metal"
"510","put your best foot forward"
"511","put your foot down"
"512","quick as a bunny"
"513","quick as a lick"
"514","quick as a wink"
"515","quick as lightning"
"516","quiet as a dormouse"
"517","rags to riches"
"518","raining buckets"
"519","raining cats and dogs"
"520","rank and file"
"521","rat race"
"522","reap what you sow"
"523","red as a beet"
"524","red herring"
"525","reinvent the wheel"
"526","rich and famous"
"527","rings a bell"
"528","ripe old age"
"529","ripped me off"
"530","rise and shine"
"531","road to hell is paved with good intentions"
"532","rob Peter to pay Paul"
"533","roll over in the grave"
"534","rub the wrong way"
"535","ruled the roost"
"536","running in circles"
"537","sad but true"
"538","sadder but wiser"
"539","salt of the earth"
"540","scared stiff"
"541","scared to death"
"542","sealed with a kiss"
"543","second to none"
"544","see eye to eye"
"545","seen the light"
"546","seize the day"
"547","set the record straight"
"548","set the world on fire"
"549","set your teeth on edge"
"550","sharp as a tack"
"551","shoot for the moon"
"552","shoot the breeze"
"553","shot in the dark"
"554","shoulder to the wheel"
"555","sick as a dog"
"556","sigh of relief"
"557","signed, sealed, and delivered"
"558","sink or swim"
"559","six of one, half a dozen of another"
"560","skating on thin ice"
"561","slept like a log"
"562","slinging mud"
"563","slippery as an eel"
"564","slow as molasses"
"565","smart as a whip"
"566","smooth as a baby\'s bottom"
"567","sneaking suspicion"
"568","snug as a bug in a rug"
"569","sow wild oats"
"570","spare the rod, spoil the child"
"571","speak of the devil"
"572","spilled the beans"
"573","spinning your wheels"
"574","spitting image of"
"575","spoke with relish"
"576","spread like wildfire"
"577","spring to life"
"578","squeaky wheel gets the grease"
"579","stands out like a sore thumb"
"580","start from scratch"
"581","stick in the mud"
"582","still waters run deep"
"583","stitch in time"
"584","stop and smell the roses"
"585","straight as an arrow"
"586","straw that broke the camel\'s back"
"587","strong as an ox"
"588","stubborn as a mule"
"589","stuff that dreams are made of"
"590","stuffed shirt"
"591","sweating blood"
"592","sweating bullets"
"593","take a load off"
"594","take one for the team"
"595","take the bait"
"596","take the bull by the horns"
"597","take the plunge"
"598","takes one to know one"
"599","takes two to tango"
"600","the more the merrier"
"601","the real deal"
"602","the real McCoy"
"603","the red carpet treatment"
"604","the same old story"
"605","there is no accounting for taste"
"606","thick as a brick"
"607","thick as thieves"
"608","thin as a rail"
"609","think outside of the box"
"610","third time\'s the charm"
"611","this day and age"
"612","this hurts me worse than it hurts you"
"613","this point in time"
"614","three sheets to the wind"
"615","through thick and thin"
"616","throw in the towel"
"617","tie one on"
"618","tighter than a drum"
"619","time and time again"
"620","time is of the essence"
"621","tip of the iceberg"
"622","tired but happy"
"623","to coin a phrase"
"624","to each his own"
"625","to make a long story short"
"626","to the best of my knowledge"
"627","toe the line"
"628","tongue in cheek"
"629","too good to be true"
"630","too hot to handle"
"631","too numerous to mention"
"632","touch with a ten foot pole"
"633","tough as nails"
"634","trial and error"
"635","trials and tribulations"
"636","tried and true"
"637","trip down memory lane"
"638","twist of fate"
"639","two cents worth"
"640","two peas in a pod"
"641","ugly as sin"
"642","under the counter"
"643","under the gun"
"644","under the same roof"
"645","under the weather"
"646","until the cows come home"
"647","unvarnished truth"
"648","up the creek"
"649","uphill battle"
"650","upper crust"
"651","upset the applecart"
"652","vain attempt"
"653","vain effort"
"654","vanquish the enemy"
"655","vested interest"
"656","waiting for the other shoe to drop"
"657","wakeup call"
"658","warm welcome"
"659","watch your p\'s and q\'s"
"660","watch your tongue"
"661","watching the clock"
"662","water under the bridge"
"663","weather the storm"
"664","weed them out"
"665","week of Sundays"
"666","went belly up"
"667","wet behind the ears"
"668","what goes around comes around"
"669","what you see is what you get"
"670","when it rains, it pours"
"671","when push comes to shove"
"672","when the cat\'s away"
"673","when the going gets tough, the tough get going"
"674","white as a sheet"
"675","whole ball of wax"
"676","whole hog"
"677","whole nine yards"
"678","wild goose chase"
"679","will wonders never cease"
"680","wisdom of the ages"
"681","wise as an owl"
"682","wolf at the door"
"683","words fail me"
"684","work like a dog"
"685","world weary"
"686","worst nightmare"
"687","worth its weight in gold"
"688","wrong side of the bed"
"689","yanking your chain"
"690","yappy as a dog"
"691","years young"
"692","you are what you eat"
"693","you can run but you can\'t hide"
"694","you only live once"
"695","you\'re the boss "
"696","young and foolish"
"697","young and vibrant"
