"","x"
"1","a chip off the old block"
"2","a clean slate"
"3","a dark and stormy night"
"4","a far cry"
"5","a fine kettle of fish"
"6","a loose cannon"
"7","a penny saved is a penny earned"
"8","a tough row to hoe"
"9","a word to the wise"
"10","ace in the hole"
"11","acid test"
"12","add insult to injury"
"13","against all odds"
"14","air your dirty laundry"
"15","all fun and games"
"16","all in a day\'s work"
"17","all talk, no action"
"18","all thumbs"
"19","all your eggs in one basket"
"20","all\'s fair in love and war"
"21","all\'s well that ends well"
"22","almighty dollar"
"23","American as apple pie"
"24","an axe to grind"
"25","another day, another dollar"
"26","armed to the teeth"
"27","as luck would have it"
"28","as old as time"
"29","as the crow flies"
"30","at loose ends"
"31","at my wits end"
"32","avoid like the plague"
"33","babe in the woods"
"34","back against the wall"
"35","back in the saddle"
"36","back to square one"
"37","back to the drawing board"
"38","bad to the bone"
"39","badge of honor"
"40","bald faced liar"
"41","ballpark figure"
"42","banging your head against a brick wall"
"43","baptism by fire"
"44","barking up the wrong tree"
"45","bat out of hell"
"46","be all and end all"
"47","beat a dead horse"
"48","beat around the bush"
"49","been there, done that"
"50","beggars can\'t be choosers"
"51","behind the eight ball"
"52","bend over backwards"
"53","benefit of the doubt"
"54","bent out of shape"
"55","best thing since sliced bread"
"56","bet your bottom dollar"
"57","better half"
"58","better late than never"
"59","better mousetrap"
"60","better safe than sorry"
"61","between a rock and a hard place"
"62","beyond the pale"
"63","bide your time"
"64","big as life"
"65","big cheese"
"66","big fish in a small pond"
"67","big man on campus"
"68","bigger they are the harder they fall"
"69","bird in the hand"
"70","bird\'s eye view"
"71","birds and the bees"
"72","birds of a feather flock together"
"73","bit the hand that feeds you"
"74","bite the bullet"
"75","bite the dust"
"76","bitten off more than he can chew"
"77","black as coal"
"78","black as pitch"
"79","black as the ace of spades"
"80","blast from the past"
"81","bleeding heart"
"82","blessing in disguise"
"83","blind ambition"
"84","blind as a bat"
"85","blind leading the blind"
"86","blood is thicker than water"
"87","blood sweat and tears"
"88","blow off steam"
"89","blow your own horn"
"90","blushing bride"
"91","boils down to"
"92","bolt from the blue"
"93","bone to pick"
"94","bored stiff"
"95","bored to tears"
"96","bottomless pit"
"97","boys will be boys"
"98","bright and early"
"99","brings home the bacon"
"100","broad across the beam"
"101","broken record"
"102","brought back to reality"
"103","bull by the horns"
"104","bull in a china shop"
"105","burn the midnight oil"
"106","burning question"
"107","burning the candle at both ends"
"108","burst your bubble"
"109","bury the hatchet"
"110","busy as a bee"
"111","by hook or by crook"
"112","call a spade a spade"
"113","called onto the carpet"
"114","calm before the storm"
"115","can of worms"
"116","can\'t cut the mustard"
"117","can\'t hold a candle to"
"118","case of mistaken identity"
"119","cat got your tongue"
"120","cat\'s meow"
"121","caught in the crossfire"
"122","caught red-handed"
"123","checkered past"
"124","chomping at the bit"
"125","cleanliness is next to godliness"
"126","clear as a bell"
"127","clear as mud"
"128","close to the vest"
"129","cock and bull story"
"130","cold shoulder"
"131","come hell or high water"
"132","cool as a cucumber"
"133","cool, calm, and collected"
"134","cost a king\'s ransom"
"135","count your blessings"
"136","crack of dawn"
"137","crash course"
"138","creature comforts"
"139","cross that bridge when you come to it"
"140","crushing blow"
"141","cry like a baby"
"142","cry me a river"
"143","cry over spilt milk"
"144","crystal clear"
"145","curiosity killed the cat"
"146","cut and dried"
"147","cut through the red tape"
"148","cut to the chase"
"149","cute as a bugs ear"
"150","cute as a button"
"151","cute as a puppy"
"152","cuts to the quick"
"153","dark before the dawn"
"154","day in, day out"
"155","dead as a doornail"
"156","devil is in the details"
"157","dime a dozen"
"158","divide and conquer"
"159","dog and pony show"
"160","dog days"
"161","dog eat dog"
"162","dog tired"
"163","don\'t burn your bridges"
"164","don\'t count your chickens"
"165","don\'t look a gift horse in the mouth"
"166","don\'t rock the boat"
"167","don\'t step on anyone\'s toes"
"168","don\'t take any wooden nickels"
"169","down and out"
"170","down at the heels"
"171","down in the dumps"
"172","down the hatch"
"173","down to earth"
"174","draw the line"
"175","dressed to kill"
"176","dressed to the nines"
"177","drives me up the wall"
"178","dull as dishwater"
"179","dyed in the wool"
"180","eagle eye"
"181","ear to the ground"
"182","early bird catches the worm"
"183","easier said than done"
"184","easy as pie"
"185","eat your heart out"
"186","eat your words"
"187","eleventh hour"
"188","even the playing field"
"189","every dog has its day"
"190","every fiber of my being"
"191","everything but the kitchen sink"
"192","eye for an eye"
"193","face the music"
"194","facts of life"
"195","fair weather friend"
"196","fall by the wayside"
"197","fan the flames"
"198","feast or famine"
"199","feather your nest"
"200","feathered friends"
"201","few and far between"
"202","fifteen minutes of fame"
"203","filthy vermin"
"204","fine kettle of fish"
"205","fish out of water"
"206","fishing for a compliment"
"207","fit as a fiddle"
"208","fit the bill"
"209","fit to be tied"
"210","flash in the pan"
"211","flat as a pancake"
"212","flip your lid"
"213","flog a dead horse"
"214","fly by night"
"215","fly the coop"
"216","follow your heart"
"217","for all intents and purposes"
"218","for the birds"
"219","for what it\'s worth"
"220","force of nature"
"221","force to be reckoned with"
"222","forgive and forget"
"223","fox in the henhouse"
"224","free and easy"
"225","free as a bird"
"226","fresh as a daisy"
"227","full steam ahead"
"228","fun in the sun"
"229","garbage in, garbage out"
"230","gentle as a lamb"
"231","get a kick out of"
"232","get a leg up"
"233","get down and dirty"
"234","get the lead out"
"235","get to the bottom of"
"236","get your feet wet"
"237","gets my goat"
"238","gilding the lily"
"239","give and take"
"240","go against the grain"
"241","go at it tooth and nail"
"242","go for broke"
"243","go him one better"
"244","go the extra mile"
"245","go with the flow"
"246","goes without saying"
"247","good as gold"
"248","good deed for the day"
"249","good things come to those who wait"
"250","good time was had by all"
"251","good times were had by all"
"252","greased lightning"
"253","greek to me"
"254","green thumb"
"255","green-eyed monster"
"256","grist for the mill"
"257","growing like a weed"
"258","hair of the dog"
"259","hand to mouth"
"260","happy as a clam"
"261","happy as a lark"
"262","hasn\'t a clue"
"263","have a nice day"
"264","have high hopes"
"265","have the last laugh"
"266","haven\'t got a row to hoe"
"267","head honcho"
"268","head over heels"
"269","hear a pin drop"
"270","heard it through the grapevine"
"271","heart\'s content"
"272","heavy as lead"
"273","hem and haw"
"274","high and dry"
"275","high and mighty"
"276","high as a kite"
"277","hit paydirt"
"278","hold your head up high"
"279","hold your horses"
"280","hold your own"
"281","hold your tongue"
"282","honest as the day is long"
"283","horns of a dilemma"
"284","horse of a different color"
"285","hot under the collar"
"286","hour of need"
"287","I beg to differ"
"288","icing on the cake"
"289","if the shoe fits"
"290","if the shoe were on the other foot"
"291","in a jam"
"292","in a jiffy"
"293","in a nutshell"
"294","in a pig\'s eye"
"295","in a pinch"
"296","in a word"
"297","in hot water"
"298","in the gutter"
"299","in the nick of time"
"300","in the thick of it"
"301","in your dreams"
"302","it ain\'t over till the fat lady sings"
"303","it goes without saying"
"304","it takes all kinds"
"305","it takes one to know one"
"306","it\'s a small world"
"307","it\'s only a matter of time"
"308","ivory tower"
"309","Jack of all trades"
"310","jockey for position"
"311","jog your memory"
"312","joined at the hip"
"313","judge a book by its cover"
"314","jump down your throat"
"315","jump in with both feet"
"316","jump on the bandwagon"
"317","jump the gun"
"318","jump to conclusions"
"319","just a hop, skip, and a jump"
"320","just the ticket"
"321","justice is blind"
"322","keep a stiff upper lip"
"323","keep an eye on"
"324","keep it simple, stupid"
"325","keep the home fires burning"
"326","keep up with the Joneses"
"327","keep your chin up"
"328","keep your fingers crossed"
"329","kick the bucket"
"330","kick up your heels"
"331","kick your feet up"
"332","kid in a candy store"
"333","kill two birds with one stone"
"334","kiss of death"
"335","knock it out of the park"
"336","knock on wood"
"337","knock your socks off"
"338","know him from Adam"
"339","know the ropes"
"340","know the score"
"341","knuckle down"
