"","Surname","prop"
"1","Smith",0.0133075824117678
"2","Johnson",0.0107148526377057
"3","Williams",0.00924652097994603
"4","Jones",0.00821472035557437
"5","Brown",0.00821472035557437
"6","Davis",0.0063495423038256
"7","Miller",0.00560876236837928
"8","Wilson",0.00448436425207683
"9","Moore",0.00412720249748664
"10","Taylor",0.00411397428435367
"11","Anderson",0.00411397428435367
"12","Thomas",0.00411397428435367
"13","Jackson",0.0041007460712207
"14","White",0.00369067146409863
"15","Harris",0.00363775861156675
"16","Martin",0.00361130218530081
"17","Thompson",0.00355838933276893
"18","Garcia",0.00335996613577438
"19","Martinez",0.00309540187311498
"20","Robinson",0.00308217365998201
"21","Clark",0.00305571723371607
"22","Rodriguez",0.00302926080745013
"23","Lewis",0.00298957616805122
"24","Lee",0.0029102068892534
"25","Walker",0.00289697867612043
"26","Hall",0.002645642626594
"27","Allen",0.00263241441346103
"28","Young",0.00255304513466321
"29","Hernandez",0.00253981692153024
"30","King",0.0025133604952643
"31","Wright",0.00250013228213133
"32","Lopez",0.00247367585586539
"33","Hill",0.00247367585586539
"34","Scott",0.00244721942959945
"35","Green",0.00242076300333351
"36","Adams",0.00230170908513678
"37","Baker",0.00226202444573787
"38","Gonzalez",0.00219588338007302
"39","Nelson",0.00214297052754114
"40","Carter",0.00214297052754114
"41","Mitchell",0.0021165141012752
"42","Perez",0.00205037303561035
"43","Roberts",0.00202391660934441
"44","Turner",0.00201068839621144
"45","Phillips",0.00197100375681253
"46","Campbell",0.00197100375681253
"47","Parker",0.00193131911741362
"48","Evans",0.00186517805174877
"49","Edwards",0.00181226519921689
"50","Collins",0.00177258055981798
"51","Stewart",0.00175935234668501
"52","Sanchez",0.0017196677072861
"53","Morris",0.00165352664162125
"54","Rogers",0.00162707021535531
"55","Reed",0.00161384200222234
"56","Cook",0.0015873855759564
"57","Morgan",0.00156092914969046
"58","Bell",0.00154770093655749
"59","Murphy",0.00154770093655749
"60","Bailey",0.00152124451029155
"61","Rivera",0.00149478808402561
"62","Cooper",0.00149478808402561
"63","Richardson",0.00148155987089264
"64","Cox",0.0014551034446267
"65","Howard",0.0014551034446267
"66","Ward",0.00142864701836076
"67","Torres",0.00142864701836076
"68","Peterson",0.00141541880522779
"69","Gray",0.00140219059209482
"70","Ramirez",0.00138896237896185
"71","James",0.00138896237896185
"72","Watson",0.00136250595269591
"73","Brooks",0.00136250595269591
"74","Kelly",0.00134927773956294
"75","Sanders",0.001322821313297
"76","Price",0.00130959310016403
"77","Bennett",0.00130959310016403
"78","Wood",0.00129636488703106
"79","Barnes",0.00128313667389809
"80","Ross",0.00126990846076512
"81","Henderson",0.00125668024763215
"82","Coleman",0.00125668024763215
"83","Jenkins",0.00125668024763215
"84","Perry",0.00124345203449918
"85","Powell",0.00123022382136621
"86","Long",0.00121699560823324
"87","Patterson",0.00121699560823324
"88","Hughes",0.00121699560823324
"89","Flores",0.00121699560823324
"90","Washington",0.00121699560823324
"91","Butler",0.00120376739510027
"92","Simmons",0.00120376739510027
"93","Foster",0.00120376739510027
"94","Gonzales",0.00115085454256839
"95","Bryant",0.00115085454256839
"96","Alexander",0.00112439811630245
"97","Russell",0.00112439811630245
"98","Griffin",0.00111116990316948
"99","Diaz",0.00111116990316948
"100","Hayes",0.00109794169003651
"101","Myers",0.00109794169003651
"102","Ford",0.00108471347690354
"103","Hamilton",0.00108471347690354
"104","Graham",0.00108471347690354
"105","Sullivan",0.00107148526377057
"106","Wallace",0.00107148526377057
"107","Woods",0.0010582570506376
"108","Cole",0.0010582570506376
"109","West",0.0010582570506376
"110","Jordan",0.00103180062437166
"111","Owens",0.00103180062437166
"112","Reynolds",0.00103180062437166
"113","Fisher",0.00101857241123869
"114","Ellis",0.00101857241123869
"115","Harrison",0.00100534419810572
"116","Gibson",0.00099211598497275
"117","Mcdonald",0.00099211598497275
"118","Cruz",0.00099211598497275
"119","Marshall",0.00099211598497275
"120","Ortiz",0.00099211598497275
"121","Gomez",0.00099211598497275
"122","Murray",0.00097888777183978
"123","Freeman",0.00097888777183978
"124","Wells",0.00096565955870681
"125","Webb",0.00095243134557384
"126","Simpson",0.0009259749193079
"127","Stevens",0.0009259749193079
