"","Name","prop","sex"
"154","Michele",0.00161219004133491,"female"
"155","Gail",0.00161219004133491,"female"
"156","Bertha",0.00158995425059295,"female"
"157","Darlene",0.00157883635522197,"female"
"158","Veronica",0.00157883635522197,"female"
"159","Jill",0.00157883635522197,"female"
"160","Erin",0.00156771845985099,"female"
"161","Geraldine",0.00156771845985099,"female"
"162","Lauren",0.00152323955432532,"female"
"163","Cathy",0.00152323955432532,"female"
"164","Joann",0.00151212165895434,"female"
"165","Lorraine",0.00150100376358336,"female"
"166","Lynn",0.00150100376358336,"female"
"167","Sally",0.00150100376358336,"female"
"168","Regina",0.0014787679728414,"female"
"169","Erica",0.00144541428672846,"female"
"170","Beatrice",0.00144541428672846,"female"
"171","Dolores",0.00143429639135748,"female"
"172","Bernice",0.00142317849598649,"female"
"173","Audrey",0.00141206060061551,"female"
"174","Yvonne",0.00140093538120279,"female"
"175","Annette",0.00138981748583181,"female"
"176","June",0.00138981748583181,"female"
"177","Samantha",0.00137869959046083,"female"
"178","Marion",0.00135646379971886,"female"
"179","Dana",0.00135646379971886,"female"
"180","Stacy",0.00134534590434788,"female"
"181","Ana",0.0013342280089769,"female"
"182","Renee",0.0013342280089769,"female"
"183","Ida",0.00131199221823494,"female"
"184","Vivian",0.00131199221823494,"female"
"185","Roberta",0.00130087432286396,"female"
"186","Holly",0.00130087432286396,"female"
"187","Brittany",0.00130087432286396,"female"
"188","Melanie",0.00128975642749298,"female"
"189","Loretta",0.00127863120808025,"female"
"190","Yolanda",0.00127863120808025,"female"
"191","Jeanette",0.00127863120808025,"female"
"192","Laurie",0.00126751331270927,"female"
"193","Katie",0.00125639541733829,"female"
"194","Kristen",0.00123415962659633,"female"
"195","Vanessa",0.00123415962659633,"female"
"196","Alma",0.00123415962659633,"female"
"197","Sue",0.00123415962659633,"female"
"198","Elsie",0.00122304173122535,"female"
"199","Beth",0.00122304173122535,"female"
"200","Jeanne",0.00121192383585437,"female"
"201","Vicki",0.00121192383585437,"female"
"202","Carla",0.00118968804511241,"female"
"203","Tara",0.00118968804511241,"female"
"204","Rosemary",0.00118968804511241,"female"
"205","Eileen",0.00116745225437044,"female"
"206","Terri",0.00116745225437044,"female"
"207","Gertrude",0.00114520913958674,"female"
"208","Lucy",0.00114520913958674,"female"
"209","Tonya",0.00113409124421576,"female"
"210","Ella",0.00112297334884477,"female"
"211","Stacey",0.00112297334884477,"female"
"212","Wilma",0.00110073755810281,"female"
"213","Gina",0.00110073755810281,"female"
"214","Kristin",0.00110073755810281,"female"
"215","Jessie",0.00108961966273183,"female"
"216","Natalie",0.00108961966273183,"female"
"217","Agnes",0.00108961966273183,"female"
"218","Vera",0.00108961966273183,"female"
"219","Willie",0.00107850176736085,"female"
"220","Charlene",0.00107850176736085,"female"
"221","Bessie",0.00106738387198987,"female"
"222","Delores",0.00105626597661889,"female"
"223","Melinda",0.00104514808124791,"female"
"224","Pearl",0.00104514808124791,"female"
"225","Arlene",0.00104514808124791,"female"
"226","Maureen",0.0010229049664642,"female"
"227","Colleen",0.0010229049664642,"female"
"228","Allison",0.0010229049664642,"female"
"229","Tamara",0.0010229049664642,"female"
"230","Joy",0.00101178707109322,"female"
"231","Georgia",0.00101178707109322,"female"
"232","Constance",0.00101178707109322,"female"
"233","Lillie",0.00100066917572224,"female"
"234","Claudia",0.00100066917572224,"female"
"235","Jackie",0.00100066917572224,"female"
"236","Marcia",0.00100066917572224,"female"
"237","Tanya",0.000989551280351259,"female"
"238","Nellie",0.000989551280351259,"female"
"239","Minnie",0.000989551280351259,"female"
"240","Marlene",0.000978433384980278,"female"
"241","Heidi",0.000978433384980278,"female"
"242","Glenda",0.000978433384980278,"female"
"243","Lydia",0.000956197594238317,"female"
"244","Viola",0.000956197594238317,"female"
"245","Courtney",0.000956197594238317,"female"
"246","Marian",0.000956197594238317,"female"
"247","Stella",0.000945079698867336,"female"
"248","Caroline",0.000945079698867336,"female"
"249","Dora",0.000933961803496355,"female"
"250","Jo",0.000922843908125375,"female"
"251","Vickie",0.000911718688712648,"female"
"252","Mattie",0.000900600793341667,"female"
"253","Terry",0.000889482897970686,"female"
"254","Maxine",0.000878365002599705,"female"
"255","Irma",0.000878365002599705,"female"
"256","Mabel",0.000867247107228725,"female"
"257","Marsha",0.000867247107228725,"female"
"258","Myrtle",0.000867247107228725,"female"
"259","Lena",0.000856129211857744,"female"
"260","Christy",0.000856129211857744,"female"
"261","Deanna",0.000845011316486763,"female"
"262","Patsy",0.000845011316486763,"female"
"263","Hilda",0.000833893421115782,"female"
"264","Gwendolyn",0.000822775525744801,"female"
"265","Jennie",0.000811657630373821,"female"
"266","Nora",0.000811657630373821,"female"
"267","Margie",0.00080053973500284,"female"
"268","Nina",0.00080053973500284,"female"
"269","Cassandra",0.00080053973500284,"female"
"270","Leah",0.00080053973500284,"female"
"271","Penny",0.000789414515590113,"female"
"272","Kay",0.000789414515590113,"female"
"273","Priscilla",0.000789414515590113,"female"
"274","Naomi",0.000789414515590113,"female"
"275","Carole",0.000789414515590113,"female"
"276","Brandy",0.000778296620219132,"female"
"277","Olga",0.000778296620219132,"female"
"278","Billie",0.000767178724848151,"female"
"279","Dianne",0.000767178724848151,"female"
"280","Tracey",0.000767178724848151,"female"
"281","Leona",0.000767178724848151,"female"
"282","Jenny",0.00075606082947717,"female"
"283","Felicia",0.00075606082947717,"female"
"284","Sonia",0.00075606082947717,"female"
"285","Miriam",0.000733825038735209,"female"
"286","Velma",0.000733825038735209,"female"
"287","Becky",0.000733825038735209,"female"
"288","Bobbie",0.000722707143364228,"female"
"289","Violet",0.000722707143364228,"female"
"290","Kristina",0.000722707143364228,"female"
"291","Toni",0.000711589247993247,"female"
"292","Misty",0.000700471352622267,"female"
"293","Mae",0.000700471352622267,"female"
"294","Shelly",0.000689353457251286,"female"
"295","Daisy",0.000689353457251286,"female"
"296","Ramona",0.000689353457251286,"female"
"297","Sherri",0.000689353457251286,"female"
"298","Erika",0.000678235561880305,"female"
"299","Katrina",0.000678235561880305,"female"
"300","Claire",0.000678235561880305,"female"
"301","Lindsey",0.000667110342467578,"female"
"302","Lindsay",0.000667110342467578,"female"
"303","Geneva",0.000655992447096597,"female"
"304","Guadalupe",0.000655992447096597,"female"
"305","Belinda",0.000655992447096597,"female"
"306","Margarita",0.000655992447096597,"female"
"307","Sheryl",0.000655992447096597,"female"
"308","Cora",0.000644874551725616,"female"
"309","Faye",0.000644874551725616,"female"
"310","Ada",0.000633756656354636,"female"
"311","Natasha",0.000633756656354636,"female"
"312","Sabrina",0.000633756656354636,"female"
"313","Isabel",0.000633756656354636,"female"
"314","Marguerite",0.000622638760983655,"female"
"315","Hattie",0.000622638760983655,"female"
"316","Harriet",0.000622638760983655,"female"
"317","Molly",0.000611520865612674,"female"
"318","Cecilia",0.000611520865612674,"female"
"319","Kristi",0.000611520865612674,"female"
"320","Brandi",0.000611520865612674,"female"
"321","Blanche",0.000611520865612674,"female"
"322","Sandy",0.000611520865612674,"female"
"323","Rosie",0.000611520865612674,"female"
"324","Joanna",0.000611520865612674,"female"
"325","Iris",0.000611520865612674,"female"
"326","Eunice",0.000600402970241693,"female"
"327","Angie",0.000600402970241693,"female"
"328","Inez",0.000589285074870713,"female"
"329","Lynda",0.000589285074870713,"female"
"330","Madeline",0.000578167179499732,"female"
"331","Amelia",0.000578167179499732,"female"
"332","Alberta",0.000578167179499732,"female"
"333","Genevieve",0.000567049284128751,"female"
"334","Monique",0.000567049284128751,"female"
"335","Jodi",0.000567049284128751,"female"
"336","Janie",0.000567049284128751,"female"
"337","Maggie",0.000567049284128751,"female"
"338","Kayla",0.000567049284128751,"female"
"339","Sonya",0.000567049284128751,"female"
"340","Jan",0.000567049284128751,"female"
"341","Lee",0.000567049284128751,"female"
"342","Kristine",0.000567049284128751,"female"
"343","Candace",0.000567049284128751,"female"
"344","Fannie",0.00055593138875777,"female"
"345","Maryann",0.00055593138875777,"female"
"346","Opal",0.00055593138875777,"female"
"347","Alison",0.00055593138875777,"female"
"348","Yvette",0.00055593138875777,"female"
"349","Melody",0.00055593138875777,"female"
"350","Luz",0.000544806169345043,"female"
"351","Susie",0.000544806169345043,"female"
"352","Olivia",0.000544806169345043,"female"
"353","Flora",0.000544806169345043,"female"
"354","Shelley",0.000544806169345043,"female"
"355","Kristy",0.000533688273974062,"female"
"356","Mamie",0.000533688273974062,"female"
"357","Lula",0.000533688273974062,"female"
"358","Lola",0.000533688273974062,"female"
"359","Verna",0.000533688273974062,"female"
"360","Beulah",0.000533688273974062,"female"
"361","Antoinette",0.000533688273974062,"female"
"362","Candice",0.000511452483232101,"female"
"363","Juana",0.000511452483232101,"female"
"364","Jeannette",0.000511452483232101,"female"
"365","Pam",0.000511452483232101,"female"
"366","Kelli",0.000511452483232101,"female"
"367","Hannah",0.00050033458786112,"female"
"368","Whitney",0.00050033458786112,"female"
"369","Bridget",0.00050033458786112,"female"
"370","Karla",0.000489216692490139,"female"
"371","Celia",0.000489216692490139,"female"
"372","Latoya",0.000478098797119158,"female"
"373","Patty",0.000478098797119158,"female"
"374","Shelia",0.000478098797119158,"female"
"375","Gayle",0.000478098797119158,"female"
"376","Della",0.000478098797119158,"female"
"377","Vicky",0.000478098797119158,"female"
"378","Lynne",0.000478098797119158,"female"
"379","Sheri",0.000466980901748178,"female"
"380","Marianne",0.000466980901748178,"female"
"381","Kara",0.000455863006377197,"female"
"382","Jacquelyn",0.000455863006377197,"female"
"383","Erma",0.000455863006377197,"female"
"384","Blanca",0.000455863006377197,"female"
"385","Myra",0.000444745111006216,"female"
"386","Leticia",0.000444745111006216,"female"
"387","Pat",0.000444745111006216,"female"
"388","Krista",0.000444745111006216,"female"
"389","Roxanne",0.000444745111006216,"female"
"390","Angelica",0.000433627215635235,"female"
"391","Johnnie",0.000433627215635235,"female"
"392","Robyn",0.000433627215635235,"female"
"393","Francis",0.000433627215635235,"female"
"394","Adrienne",0.000433627215635235,"female"
"395","Rosalie",0.000433627215635235,"female"
"396","Alexandra",0.000433627215635235,"female"
