"","token","emotion"
"109","adjudicate","fear"
"110","administrative","trust"
"111","admirable","joy"
"112","admirable","trust"
"113","admiral","trust"
"114","admiration","joy"
"115","admiration","trust"
"116","admire","trust"
"117","admissible","trust"
"118","admonition","fear"
"119","adorable","joy"
"120","adoration","joy"
"121","adoration","trust"
"122","adore","anticipation"
"123","adore","joy"
"124","adore","trust"
"125","adrift","anticipation"
"126","adrift","fear"
"127","adrift","sadness"
"128","adultery","disgust"
"129","adultery","sadness"
"130","advance","anticipation"
"131","advance","fear"
"132","advance","joy"
"133","advance","surprise"
"134","advent","anticipation"
"135","advent","joy"
"136","advent","trust"
"137","adventure","anticipation"
"138","adversary","anger"
"139","adverse","anger"
"140","adverse","disgust"
"141","adverse","fear"
"142","adverse","sadness"
"143","adversity","anger"
"144","adversity","fear"
"145","adversity","sadness"
"146","advice","trust"
"147","advisable","trust"
"148","advise","trust"
"149","advised","trust"
"150","adviser","trust"
"151","advocacy","anger"
"152","advocacy","anticipation"
"153","advocacy","joy"
"154","advocacy","trust"
"155","advocate","trust"
"156","aesthetics","joy"
"157","affection","joy"
"158","affection","trust"
"159","affirm","trust"
"160","affirmatively","trust"
"161","afflict","fear"
"162","afflict","sadness"
"163","affliction","disgust"
"164","affliction","fear"
"165","affliction","sadness"
"166","affluence","joy"
"167","affront","anger"
"168","affront","disgust"
"169","affront","fear"
"170","affront","sadness"
"171","affront","surprise"
"172","afraid","fear"
"173","aftermath","anger"
"174","aftermath","disgust"
"175","aftermath","fear"
"176","aftermath","sadness"
"177","aga","fear"
"178","aga","trust"
"179","aggravated","anger"
"180","aggravating","anger"
"181","aggravating","sadness"
"182","aggravation","anger"
"183","aggravation","disgust"
"184","aggression","anger"
"185","aggression","fear"
"186","aggressive","anger"
"187","aggressive","fear"
"188","aggressor","anger"
"189","aggressor","fear"
"190","aghast","disgust"
"191","aghast","fear"
"192","aghast","surprise"
"193","agitated","anger"
"194","agitation","anger"
"195","agonizing","fear"
"196","agony","anger"
"197","agony","fear"
"198","agony","sadness"
"199","agreeable","trust"
"200","agreed","trust"
"201","agreeing","trust"
"202","agreement","trust"
"203","ail","sadness"
"204","ailing","fear"
"205","ailing","sadness"
"206","airport","anticipation"
"207","airs","disgust"
"208","akin","trust"
"209","alarm","fear"
"210","alarm","surprise"
"211","alarming","fear"
"212","alarming","surprise"
"213","alb","trust"
"214","alcoholism","anger"
"215","alcoholism","disgust"
"216","alcoholism","fear"
"217","alcoholism","sadness"
"218","alertness","anticipation"
"219","alertness","fear"
"220","alertness","surprise"
"221","alerts","anticipation"
"222","alerts","fear"
"223","alerts","surprise"
"224","alien","disgust"
"225","alien","fear"
"226","alienate","anger"
"227","alienate","disgust"
"228","alienated","sadness"
"229","alienation","anger"
"230","alienation","disgust"
"231","alienation","fear"
"232","alienation","sadness"
"233","alive","anticipation"
"234","alive","joy"
"235","alive","trust"
"236","allegation","anger"
"237","allegiance","trust"
"238","alliance","trust"
"239","allied","trust"
"240","allure","anticipation"
"241","allure","joy"
"242","allure","surprise"
"243","ally","trust"
"244","aloha","anticipation"
"245","aloha","joy"
"246","altercation","anger"
"247","amaze","surprise"
"248","amazingly","joy"
"249","amazingly","surprise"
"250","ambassador","trust"
"251","ambition","anticipation"
"252","ambition","joy"
"253","ambition","trust"
"254","ambulance","fear"
"255","ambulance","trust"
"256","ambush","anger"
"257","ambush","fear"
"258","ambush","surprise"
"259","amen","joy"
"260","amen","trust"
"261","amicable","joy"
"262","ammonia","disgust"
"263","amnesty","joy"
"264","amortization","trust"
"265","amour","anticipation"
"266","amour","joy"
"267","amour","trust"
"268","amphetamines","disgust"
"269","amuse","joy"
"270","amused","joy"
"271","amusement","joy"
"272","amusing","joy"
"273","anaconda","disgust"
"274","anaconda","fear"
"275","analyst","anticipation"
"276","analyst","trust"
"277","anarchism","anger"
"278","anarchism","fear"
"279","anarchist","anger"
"280","anarchist","fear"
"281","anarchy","anger"
"282","anarchy","fear"
"283","anathema","anger"
"284","anathema","disgust"
"285","anathema","fear"
"286","anathema","sadness"
"287","ancestral","trust"
"288","anchorage","sadness"
"289","angel","anticipation"
"290","angel","joy"
"291","angel","surprise"
"292","angel","trust"
"293","angelic","joy"
"294","angelic","trust"
"295","anger","anger"
"296","angina","fear"
"297","angling","anticipation"
"298","angry","anger"
"299","angry","disgust"
"300","anguish","anger"
"301","anguish","fear"
"302","anguish","sadness"
"303","animated","joy"
"304","animosity","anger"
"305","animosity","disgust"
"306","animosity","fear"
"307","animosity","sadness"
"308","animus","anger"
"309","annihilate","anger"
"310","annihilate","fear"
"311","annihilated","anger"
"312","annihilated","fear"
"313","annihilated","sadness"
"314","annihilation","anger"
"315","annihilation","fear"
"316","annihilation","sadness"
"317","announcement","anticipation"
"318","annoy","anger"
"319","annoy","disgust"
"320","annoyance","anger"
"321","annoyance","disgust"
"322","annoying","anger"
"323","annulment","sadness"
"324","anomaly","fear"
"325","anomaly","surprise"
"326","answerable","trust"
"327","antagonism","anger"
"328","antagonist","anger"
"329","antagonistic","anger"
"330","antagonistic","disgust"
"331","anthrax","disgust"
"332","anthrax","fear"
"333","anthrax","sadness"
"334","antichrist","anger"
"335","antichrist","disgust"
"336","antichrist","fear"
"337","anticipation","anticipation"
"338","anticipatory","anticipation"
"339","antidote","anticipation"
"340","antidote","trust"
"341","antifungal","trust"
"342","antipathy","anger"
"343","antipathy","disgust"
"344","antiseptic","trust"
"345","antisocial","anger"
"346","antisocial","disgust"
"347","antisocial","fear"
"348","antisocial","sadness"
"349","antithesis","anger"
"350","anxiety","anger"
"351","anxiety","anticipation"
"352","anxiety","fear"
"353","anxiety","sadness"
"354","anxious","anticipation"
"355","anxious","fear"
"356","apache","fear"
"357","apathetic","sadness"
"358","apathy","sadness"
"359","aphid","disgust"
"360","apologetic","trust"
"361","apologize","sadness"
"362","apologize","trust"
"363","apostle","trust"
"364","apostolic","trust"
"365","appalling","disgust"
"366","appalling","fear"
"367","apparition","fear"
"368","apparition","surprise"
"369","appeal","anticipation"
"370","appendicitis","fear"
"371","appendicitis","sadness"
"372","applause","joy"
"373","applause","surprise"
"374","applause","trust"
"375","applicant","anticipation"
"376","appreciation","joy"
"377","appreciation","trust"
"378","apprehend","fear"
"379","apprehension","fear"
"380","apprehensive","anticipation"
"381","apprehensive","fear"
"382","apprentice","trust"
"383","approaching","anticipation"
"384","approbation","trust"
"385","approve","joy"
"386","approve","trust"
"387","arbiter","trust"
"388","arbitration","anticipation"
"389","arbitrator","trust"
"390","archaeology","anticipation"
"391","architecture","trust"
"392","ardent","anticipation"
"393","ardent","joy"
"394","argue","anger"
"395","argument","anger"
"396","argumentation","anger"
"397","arguments","anger"
"398","arid","sadness"
"399","armament","anger"
"400","armament","fear"
"401","armaments","fear"
"402","armed","anger"
"403","armed","fear"
"404","armor","fear"
"405","armor","trust"
"406","armored","fear"
"407","armory","trust"
"408","arouse","anticipation"
"409","arraignment","anger"
"410","arraignment","fear"
"411","arraignment","sadness"
"412","arrival","anticipation"
"413","arrive","anticipation"
"414","arrogant","anger"
"415","arrogant","disgust"
"416","arsenic","disgust"
"417","arsenic","fear"
"418","arsenic","sadness"
"419","arson","anger"
"420","arson","fear"
"421","art","anticipation"
"422","art","joy"
"423","art","sadness"
"424","art","surprise"
"425","artillery","fear"
"426","ashamed","disgust"
"427","ashamed","sadness"
"428","ashes","sadness"
"429","asp","fear"
"430","aspiration","anticipation"
"431","aspiration","joy"
"432","aspiration","surprise"
"433","aspiration","trust"
"434","aspire","anticipation"
"435","aspire","joy"
"436","aspiring","anticipation"
"437","aspiring","joy"
"438","aspiring","trust"
"439","assail","anger"
"440","assail","fear"
"441","assail","surprise"
"442","assailant","anger"
"443","assailant","fear"
"444","assailant","sadness"
"445","assassin","anger"
"446","assassin","fear"
"447","assassin","sadness"
"448","assassinate","anger"
"449","assassinate","fear"
"450","assassination","anger"
"451","assassination","fear"
"452","assassination","sadness"
"453","assault","anger"
"454","assault","fear"
"455","assembly","trust"
"456","asserting","trust"
"457","assessment","surprise"
"458","assessment","trust"
"459","assessor","trust"
"460","asshole","anger"
"461","asshole","disgust"
"462","assignee","trust"
"463","assist","trust"
"464","associate","trust"
"465","association","trust"
"466","assurance","trust"
"467","assure","trust"
"468","assured","trust"
"469","assuredly","trust"
"470","astonishingly","surprise"
"471","astonishment","joy"
"472","astonishment","surprise"
"473","astray","fear"
"474","astrologer","anticipation"
"475","astronomer","anticipation"
"476","asylum","fear"
"477","asymmetry","disgust"
"478","atherosclerosis","fear"
"479","atherosclerosis","sadness"
"480","atone","anticipation"
"481","atone","joy"
"482","atone","trust"
"483","atrocious","anger"
"484","atrocious","disgust"
"485","atrocity","anger"
"486","atrocity","disgust"
"487","atrocity","fear"
"488","atrocity","sadness"
"489","atrophy","disgust"
"490","atrophy","fear"
"491","atrophy","sadness"
"492","attack","anger"
"493","attack","fear"
"494","attacking","anger"
"495","attacking","disgust"
"496","attacking","fear"
"497","attacking","sadness"
"498","attacking","surprise"
"499","attainable","anticipation"
"500","attempt","anticipation"
"501","attendance","anticipation"
"502","attendant","trust"
"503","attentive","trust"
"504","attenuation","sadness"
"505","attest","trust"
"506","attestation","trust"
"507","attorney","anger"
"508","attorney","fear"
"509","attorney","trust"
"510","auction","anticipation"
"511","audience","anticipation"
"512","auditor","fear"
"513","auditor","trust"
"514","aunt","trust"
"515","auspicious","anticipation"
"516","auspicious","joy"
"517","austere","fear"
"518","austere","sadness"
"519","authentic","joy"
"520","authentic","trust"
"521","authenticate","trust"
"522","authentication","trust"
"523","authenticity","trust"
"524","author","trust"
"525","authoritative","trust"
"526","authority","trust"
"527","authorization","trust"
"528","authorize","trust"
"529","automatic","trust"
"530","autopsy","disgust"
"531","autopsy","fear"
"532","autopsy","sadness"
"533","avalanche","fear"
"534","avalanche","sadness"
"535","avalanche","surprise"
"536","avarice","anger"
"537","avarice","disgust"
"538","avenger","anger"
"539","averse","anger"
"540","averse","disgust"
"541","averse","fear"
"542","aversion","anger"
"543","aversion","disgust"
"544","aversion","fear"
"545","avoid","fear"
"546","avoidance","fear"
"547","avoiding","fear"
"548","await","anticipation"
"549","award","anticipation"
"550","award","joy"
"551","award","surprise"
"552","award","trust"
"553","awful","anger"
"554","awful","disgust"
"555","awful","fear"
"556","awful","sadness"
"557","awkwardness","disgust"
"558","axiom","trust"
"559","axiomatic","trust"
"560","baboon","disgust"
"561","baby","joy"
"562","babysitter","trust"
"563","backbone","anger"
"564","backbone","trust"
"565","backer","trust"
"566","backwards","disgust"
"567","backwater","sadness"
"568","bacteria","disgust"
"569","bacteria","fear"
"570","bacteria","sadness"
"571","bacterium","disgust"
"572","bacterium","fear"
"573","bad","anger"
"574","bad","disgust"
"575","bad","fear"
"576","bad","sadness"
"577","badge","trust"
"578","badger","anger"
"579","badly","sadness"
"580","badness","anger"
"581","badness","disgust"
"582","badness","fear"
"583","bailiff","fear"
"584","bailiff","trust"
"585","bait","fear"
"586","bait","trust"
"587","bale","fear"
"588","ballot","anticipation"
"589","ballot","trust"
"590","balm","anticipation"
"591","balm","joy"
"592","bane","anger"
"593","bane","disgust"
"594","bane","fear"
"595","bang","anger"
"596","bang","disgust"
"597","bang","fear"
"598","bang","sadness"
"599","bang","surprise"
"600","banger","anger"
"601","banger","anticipation"
"602","banger","fear"
"603","banger","surprise"
"604","banish","anger"
"605","banish","disgust"
"606","banish","fear"
"607","banish","sadness"
"608","banished","anger"
"609","banished","fear"
"610","banished","sadness"
"611","banishment","anger"
"612","banishment","disgust"
"613","banishment","sadness"
"614","bank","trust"
"615","banker","trust"
"616","bankrupt","fear"
"617","bankrupt","sadness"
"618","bankruptcy","anger"
"619","bankruptcy","disgust"
"620","bankruptcy","fear"
"621","bankruptcy","sadness"
"622","banquet","anticipation"
"623","banquet","joy"
"624","banshee","anger"
"625","banshee","disgust"
"626","banshee","fear"
"627","banshee","sadness"
"628","baptismal","joy"
"629","barb","anger"
"630","barbarian","fear"
"631","barbaric","anger"
"632","barbaric","disgust"
"633","barbaric","fear"
"634","barf","disgust"
"635","bargain","trust"
"636","bark","anger"
"637","barren","sadness"
"638","barricade","fear"
"639","barrier","anger"
"640","barrow","disgust"
"641","bartender","trust"
"642","barter","trust"
"643","base","trust"
"644","basketball","anticipation"
"645","basketball","joy"
"646","bastard","disgust"
"647","bastard","sadness"
"648","bastion","anger"
"649","battalion","anger"
"650","batter","anger"
"651","batter","fear"
"652","battered","fear"
"653","battered","sadness"
"654","battery","anger"
"655","battle","anger"
"656","battled","anger"
"657","battled","fear"
"658","battled","sadness"
"659","battlefield","fear"
"660","bayonet","anger"
"661","bayonet","fear"
"662","beach","joy"
"663","beam","joy"
"664","beaming","anticipation"
"665","beaming","joy"
"666","bear","anger"
"667","bear","fear"
"668","bearish","anger"
"669","bearish","fear"
"670","beast","anger"
"671","beast","fear"
"672","beastly","disgust"
"673","beastly","fear"
"674","beating","anger"
"675","beating","fear"
"676","beating","sadness"
"677","beautification","joy"
"678","beautification","trust"
"679","beautiful","joy"
"680","beautify","joy"
"681","beauty","joy"
"682","bedrock","trust"
"683","bee","anger"
"684","bee","fear"
"685","beer","joy"
"686","befriend","joy"
"687","befriend","trust"
"688","beg","sadness"
"689","beggar","sadness"
"690","begun","anticipation"
"691","behemoth","fear"
"692","believed","trust"
"693","believer","trust"
"694","believing","trust"
"695","belittle","anger"
"696","belittle","disgust"
"697","belittle","fear"
"698","belittle","sadness"
"699","belligerent","anger"
"700","belligerent","fear"
"701","bellows","anger"
"702","belt","anger"
"703","belt","fear"
"704","benefactor","trust"
"705","benevolence","joy"
"706","benevolence","trust"
"707","benign","joy"
"708","bequest","trust"
"709","bereaved","sadness"
"710","bereavement","sadness"
"711","berserk","anger"
"712","bestial","disgust"
"713","bestial","fear"
"714","betray","anger"
"715","betray","disgust"
"716","betray","sadness"
"717","betray","surprise"
"718","betrayal","anger"
"719","betrayal","disgust"
"720","betrayal","sadness"
"721","betrothed","anticipation"
"722","betrothed","joy"
"723","betrothed","trust"
"724","beware","anticipation"
"725","beware","fear"
"726","bewildered","fear"
"727","bewildered","surprise"
"728","bewilderment","fear"
"729","bewilderment","surprise"
"730","bias","anger"
"731","bickering","anger"
"732","bickering","disgust"
"733","biennial","anticipation"
"734","bier","fear"
"735","bier","sadness"
"736","bigot","anger"
"737","bigot","disgust"
"738","bigot","fear"
"739","bigoted","anger"
"740","bigoted","disgust"
"741","bigoted","fear"
"742","bigoted","sadness"
"743","bile","anger"
"744","bile","disgust"
"745","biopsy","fear"
"746","birch","anger"
"747","birch","disgust"
"748","birch","fear"
"749","birth","anticipation"
"750","birth","fear"
"751","birth","joy"
"752","birth","trust"
"753","birthday","anticipation"
"754","birthday","joy"
"755","birthday","surprise"
"756","birthplace","anger"
"757","bitch","anger"
"758","bitch","disgust"
"759","bitch","fear"
"760","bitch","sadness"
"761","bitterly","anger"
"762","bitterly","disgust"
"763","bitterly","sadness"
"764","bitterness","anger"
"765","bitterness","disgust"
"766","bitterness","sadness"
"767","bizarre","surprise"
"768","black","sadness"
"769","blackmail","anger"
"770","blackmail","fear"
"771","blackness","fear"
"772","blackness","sadness"
"773","blame","anger"
"774","blame","disgust"
"775","blanket","trust"
"776","blasphemous","anger"
"777","blasphemous","disgust"
"778","blasphemy","anger"
"779","blast","anger"
"780","blast","fear"
"781","blast","surprise"
"782","blatant","anger"
"783","blatant","disgust"
"784","blaze","anger"
"785","bleak","sadness"
"786","bleeding","disgust"
"787","bleeding","fear"
"788","bleeding","sadness"
"789","blemish","anger"
"790","blemish","disgust"
"791","blemish","fear"
"792","blemish","sadness"
"793","bless","anticipation"
"794","bless","joy"
"795","bless","trust"
"796","blessed","joy"
"797","blessing","anticipation"
"798","blessing","joy"
"799","blessing","trust"
"800","blessings","anticipation"
"801","blessings","joy"
"802","blessings","surprise"
"803","blessings","trust"
"804","blight","disgust"
"805","blight","fear"
"806","blight","sadness"
"807","blighted","disgust"
"808","blighted","sadness"
"809","blindfold","anticipation"
"810","blindfold","fear"
"811","blindfold","surprise"
"812","blindly","sadness"
"813","blindness","sadness"
"814","bliss","joy"
"815","blissful","joy"
"816","blister","disgust"
"817","blitz","surprise"
"818","bloated","disgust"
"819","blob","disgust"
"820","blob","fear"
"821","blockade","anger"
"822","blockade","fear"
"823","blockade","sadness"
"824","bloodshed","anger"
"825","bloodshed","disgust"
"826","bloodshed","fear"
"827","bloodshed","sadness"
"828","bloodshed","surprise"
"829","bloodthirsty","anger"
"830","bloodthirsty","disgust"
"831","bloodthirsty","fear"
"832","bloody","anger"
"833","bloody","disgust"
"834","bloody","fear"
"835","bloody","sadness"
"836","bloom","anticipation"
"837","bloom","joy"
"838","bloom","trust"
"839","blossom","joy"
"840","blue","sadness"
"841","blues","fear"
"842","blues","sadness"
"843","blunder","disgust"
"844","blunder","sadness"
"845","board","anticipation"
"846","bodyguard","trust"
"847","bogus","anger"
"848","bogus","disgust"
"849","boil","disgust"
"850","boisterous","anger"
"851","boisterous","anticipation"
"852","boisterous","joy"
"853","bomb","anger"
"854","bomb","fear"
"855","bomb","sadness"
"856","bomb","surprise"
"857","bombard","anger"
"858","bombard","fear"
"859","bombardment","anger"
"860","bombardment","fear"
"861","bombed","disgust"
"862","bomber","fear"
"863","bomber","sadness"
"864","bonanza","joy"
"865","bondage","fear"
"866","bondage","sadness"
"867","bonus","anticipation"
"868","bonus","joy"
"869","bonus","surprise"
"870","boomerang","anticipation"
"871","boomerang","trust"
"872","boredom","sadness"
"873","bothering","anger"
"874","bothering","sadness"
"875","bottom","sadness"
"876","bottomless","fear"
"877","bountiful","anticipation"
"878","bountiful","joy"
"879","bounty","anticipation"
"880","bounty","joy"
"881","bounty","trust"
"882","bouquet","joy"
"883","bouquet","trust"
"884","bout","anger"
"885","bovine","disgust"
"886","bowels","disgust"
"887","boxing","anger"
"888","boy","disgust"
"889","bran","disgust"
"890","brawl","anger"
"891","brawl","disgust"
"892","brawl","fear"
"893","brazen","anger"
"894","break","surprise"
"895","breakup","sadness"
"896","bribery","disgust"
"897","bridal","anticipation"
"898","bridal","joy"
"899","bridal","trust"
"900","bride","anticipation"
"901","bride","joy"
"902","bride","trust"
"903","bridegroom","anticipation"
"904","bridegroom","joy"
"905","bridegroom","trust"
"906","bridesmaid","joy"
"907","bridesmaid","trust"
"908","brigade","fear"
"909","brighten","joy"
"910","brighten","surprise"
"911","brighten","trust"
"912","brilliant","anticipation"
"913","brilliant","joy"
"914","brilliant","trust"
"915","brimstone","anger"
"916","brimstone","fear"
"917","broadside","anticipation"
"918","broil","anger"
"919","broke","fear"
"920","broke","sadness"
"921","broken","anger"
"922","broken","fear"
"923","broken","sadness"
"924","brothel","disgust"
"925","brother","trust"
"926","brotherhood","trust"
"927","brotherly","anticipation"
"928","brotherly","joy"
"929","brotherly","trust"
"930","bruise","anticipation"
"931","brunt","anger"
"932","brutal","anger"
"933","brutal","fear"
"934","brutality","anger"
"935","brutality","fear"
"936","brute","anger"
"937","brute","fear"
"938","brute","sadness"
"939","buck","fear"
"940","buck","surprise"
"941","buddy","anticipation"
"942","buddy","joy"
"943","buddy","trust"
"944","budget","trust"
"945","buffet","anger"
"946","bug","disgust"
"947","bug","fear"
"948","bugaboo","anger"
"949","bugaboo","fear"
"950","bugaboo","sadness"
"951","bugle","anticipation"
"952","bully","anger"
"953","bully","fear"
"954","bum","disgust"
"955","bum","sadness"
"956","bummer","anger"
"957","bummer","disgust"
"958","bunker","fear"
"959","burdensome","fear"
"960","burdensome","sadness"
"961","bureaucracy","trust"
"962","bureaucrat","disgust"
"963","burglar","disgust"
"964","burglar","fear"
"965","burial","anger"
"966","burial","fear"
"967","burial","sadness"
"968","buried","fear"
"969","buried","sadness"
"970","burke","anger"
"971","burke","disgust"
"972","burke","fear"
"973","burke","sadness"
"974","burlesque","surprise"
"975","burnt","disgust"
"976","bursary","trust"
"977","bury","sadness"
"978","buss","joy"
"979","busted","anger"
"980","busted","fear"
"981","butcher","anger"
"982","butcher","disgust"
"983","butcher","fear"
"984","butler","trust"
"985","buzz","anticipation"
"986","buzz","fear"
"987","bye","anticipation"
"988","bylaw","trust"
"989","cabal","fear"
"990","cabinet","trust"
"991","cable","surprise"
"992","cacophony","anger"
"993","cacophony","disgust"
"994","cad","anger"
"995","cad","disgust"
"996","cadaver","disgust"
"997","cadaver","fear"
"998","cadaver","sadness"
"999","cadaver","surprise"
"1000","cage","sadness"
"1001","calamity","sadness"
"1002","calculation","anticipation"
"1003","calculator","trust"
"1004","calf","joy"
"1005","calf","trust"
"1006","callous","anger"
"1007","callous","disgust"
"1008","calls","anticipation"
"1009","calls","trust"
"1010","camouflage","surprise"
"1011","camouflaged","surprise"
"1012","campaigning","anger"
"1013","campaigning","fear"
"1014","cancel","sadness"
"1015","cancer","anger"
"1016","cancer","disgust"
"1017","cancer","fear"
"1018","cancer","sadness"
"1019","candid","anticipation"
"1020","candid","joy"
"1021","candid","surprise"
"1022","candid","trust"
"1023","cane","anger"
"1024","cane","fear"
"1025","canker","anger"
"1026","canker","disgust"
"1027","cannibal","disgust"
"1028","cannibal","fear"
"1029","cannibalism","disgust"
"1030","cannon","anger"
"1031","cannon","fear"
"1032","canons","trust"
"1033","cap","anticipation"
"1034","cap","trust"
"1035","captivate","anticipation"
"1036","captivate","joy"
"1037","captivate","surprise"
"1038","captivate","trust"
"1039","captive","fear"
"1040","captive","sadness"
"1041","captivity","sadness"
"1042","captor","fear"
"1043","carcass","disgust"
"1044","carcass","fear"
"1045","carcass","sadness"
"1046","carcinoma","fear"
"1047","carcinoma","sadness"
"1048","cardiomyopathy","fear"
"1049","cardiomyopathy","sadness"
"1050","career","anticipation"
"1051","carelessness","anger"
"1052","carelessness","disgust"
"1053","caretaker","trust"
"1054","caries","disgust"
"1055","carnage","anger"
"1056","carnage","disgust"
"1057","carnage","fear"
"1058","carnage","sadness"
"1059","carnage","surprise"
"1060","carnivorous","fear"
"1061","carol","joy"
"1062","carol","trust"
"1063","cartridge","fear"
"1064","case","fear"
"1065","case","sadness"
"1066","cash","anger"
"1067","cash","anticipation"
"1068","cash","fear"
"1069","cash","joy"
"1070","cash","trust"
"1071","cashier","trust"
"1072","casket","fear"
"1073","casket","sadness"
"1074","casualty","anger"
"1075","casualty","fear"
"1076","casualty","sadness"
"1077","cataract","anticipation"
"1078","cataract","fear"
"1079","cataract","sadness"
"1080","catastrophe","anger"
"1081","catastrophe","disgust"
"1082","catastrophe","fear"
"1083","catastrophe","sadness"
"1084","catastrophe","surprise"
"1085","catch","surprise"
"1086","catechism","disgust"
"1087","cathedral","joy"
"1088","cathedral","trust"
"1089","caution","anger"
"1090","caution","anticipation"
"1091","caution","fear"
"1092","cautionary","fear"
"1093","cautious","anticipation"
"1094","cautious","fear"
"1095","cautious","trust"
"1096","cautiously","fear"
"1097","celebrated","anticipation"
"1098","celebrated","joy"
"1099","celebrating","anticipation"
"1100","celebrating","joy"
"1101","celebration","anticipation"
"1102","celebration","joy"
"1103","celebration","surprise"
"1104","celebration","trust"
"1105","celebrity","anger"
"1106","celebrity","anticipation"
"1107","celebrity","disgust"
"1108","celebrity","joy"
"1109","celebrity","surprise"
"1110","celebrity","trust"
"1111","celestial","anticipation"
"1112","celestial","joy"
"1113","cement","anticipation"
"1114","cement","trust"
"1115","cemetery","fear"
"1116","cemetery","sadness"
"1117","censor","anger"
"1118","censor","disgust"
"1119","censor","fear"
"1120","censor","trust"
"1121","center","trust"
"1122","ceremony","joy"
"1123","ceremony","surprise"
"1124","certify","trust"
"1125","cess","disgust"
"1126","chaff","anger"
"1127","chaff","fear"
"1128","chagrin","disgust"
"1129","chagrin","sadness"
"1130","chairman","trust"
"1131","chairwoman","trust"
"1132","challenge","anger"
"1133","challenge","fear"
"1134","champion","anticipation"
"1135","champion","joy"
"1136","champion","trust"
"1137","chance","surprise"
"1138","chancellor","trust"
"1139","change","fear"
"1140","changeable","anticipation"
"1141","changeable","surprise"
"1142","chant","anger"
"1143","chant","anticipation"
"1144","chant","joy"
"1145","chant","surprise"
"1146","chaos","anger"
"1147","chaos","fear"
"1148","chaos","sadness"
"1149","chaotic","anger"
"1150","chaplain","trust"
"1151","chargeable","fear"
"1152","chargeable","sadness"
"1153","charitable","anticipation"
"1154","charitable","joy"
"1155","charitable","trust"
"1156","charity","joy"
"1157","charmed","joy"
"1158","chart","trust"
"1159","chasm","fear"
"1160","chastity","anticipation"
"1161","chastity","trust"
"1162","cheat","anger"
"1163","cheat","disgust"
"1164","checklist","trust"
"1165","cheer","anticipation"
"1166","cheer","joy"
"1167","cheer","surprise"
"1168","cheer","trust"
"1169","cheerful","joy"
"1170","cheerful","surprise"
"1171","cheerfulness","anticipation"
"1172","cheerfulness","joy"
"1173","cheerfulness","trust"
"1174","cheering","joy"
"1175","cheery","anticipation"
"1176","cheery","joy"
"1177","chemist","trust"
"1178","cherish","anticipation"
"1179","cherish","joy"
"1180","cherish","surprise"
"1181","cherish","trust"
"1182","chicane","anticipation"
"1183","chicane","surprise"
"1184","chicane","trust"
"1185","chicken","fear"
"1186","child","anticipation"
"1187","child","joy"
"1188","childhood","joy"
"1189","chimera","fear"
"1190","chimera","surprise"
"1191","chirp","joy"
"1192","chocolate","anticipation"
"1193","chocolate","joy"
