"","token","emotion"
"1","abacus","trust"
"2","abandon","fear"
"3","abandon","sadness"
"4","abandoned","anger"
"5","abandoned","fear"
"6","abandoned","sadness"
"7","abandonment","anger"
"8","abandonment","fear"
"9","abandonment","sadness"
"10","abandonment","surprise"
"11","abbot","trust"
"12","abduction","fear"
"13","abduction","sadness"
"14","abduction","surprise"
"15","aberration","disgust"
"16","abhor","anger"
"17","abhor","disgust"
"18","abhor","fear"
"19","abhorrent","anger"
"20","abhorrent","disgust"
"21","abhorrent","fear"
"22","abject","disgust"
"23","abnormal","disgust"
"24","abolish","anger"
"25","abominable","disgust"
"26","abominable","fear"
"27","abomination","anger"
"28","abomination","disgust"
"29","abomination","fear"
"30","abortion","disgust"
"31","abortion","fear"
"32","abortion","sadness"
"33","abortive","sadness"
"34","abrupt","surprise"
"35","abscess","sadness"
"36","absence","fear"
"37","absence","sadness"
"38","absent","sadness"
"39","absentee","sadness"
"40","absolution","joy"
"41","absolution","trust"
"42","abundance","anticipation"
"43","abundance","disgust"
"44","abundance","joy"
"45","abundance","trust"
"46","abundant","joy"
"47","abuse","anger"
"48","abuse","disgust"
"49","abuse","fear"
"50","abuse","sadness"
"51","abysmal","sadness"
"52","abyss","fear"
"53","abyss","sadness"
"54","academic","trust"
"55","accelerate","anticipation"
"56","accident","fear"
"57","accident","sadness"
"58","accident","surprise"
"59","accidental","fear"
"60","accidental","surprise"
"61","accidentally","surprise"
"62","accolade","anticipation"
"63","accolade","joy"
"64","accolade","surprise"
"65","accolade","trust"
"66","accompaniment","anticipation"
"67","accompaniment","joy"
"68","accompaniment","trust"
"69","accomplish","joy"
"70","accomplished","joy"
"71","accord","trust"
"72","account","trust"
"73","accountability","trust"
"74","accountable","trust"
"75","accountant","trust"
"76","accounts","trust"
"77","accredited","trust"
"78","accurate","trust"
"79","accursed","anger"
"80","accursed","fear"
"81","accursed","sadness"
"82","accusation","anger"
"83","accusation","disgust"
"84","accused","anger"
"85","accused","fear"
"86","accuser","anger"
"87","accuser","fear"
"88","accusing","anger"
"89","accusing","fear"
"90","ache","sadness"
"91","achieve","joy"
"92","achieve","trust"
"93","achievement","anticipation"
"94","achievement","joy"
"95","achievement","trust"
"96","aching","sadness"
"97","acquiring","anticipation"
"98","acrobat","fear"
"99","acrobat","joy"
"100","acrobat","trust"
"101","actionable","anger"
"102","actionable","disgust"
"103","adder","anger"
"104","adder","disgust"
"105","adder","fear"
"106","adder","sadness"
"107","addresses","anticipation"
"108","adhering","trust"
