"","x","y"
"1","A+","very excellent excellent"
"2","A","very excellent"
"3","A-","excellent"
"4","B+","almost excellent"
"5","B","slightly excellent"
"6","B-","slightly good"
"7","C+","slightly above average"
"8","C","average"
"9","C-","slightly below average"
"10","D+","kinda bad"
"11","D","bad"
"12","D-","bad"
"13","F+","very bad"
"14","F","very very bad"
"15","F-","very bad bad"
