"","x"
"1","a"
"2","about"
"3","above"
"4","after"
"5","again"
"6","ago"
"7","ain't"
"8","all"
"9","almost"
"10","along"
"11","already"
"12","also"
"13","although"
"14","always"
"15","am"
"16","among"
"17","an"
"18","and"
"19","another"
"20","any"
"21","anybody"
"22","anything"
"23","anywhere"
"24","are"
"25","aren't"
"26","around"
"27","as"
"28","at"
"29","back"
"30","be"
"31","been"
"32","before"
"33","being"
"34","below"
"35","beneath"
"36","beside"
"37","between"
"38","beyond"
"39","billion"
"40","billionth"
"41","both"
"42","but"
"43","by"
"44","can"
"45","can't"
"46","could"
"47","could've"
"48","couldn't"
"49","did"
"50","didn't"
"51","do"
"52","does"
"53","doesn't"
"54","doing"
"55","don't"
"56","done"
"57","down"
"58","during"
"59","each"
"60","eight"
"61","eighteen"
"62","eighteenth"
"63","eighth"
"64","eightieth"
"65","eighty"
"66","either"
"67","eleven"
"68","eleventh"
"69","else"
"70","enough"
"71","even"
"72","ever"
"73","every"
"74","everybody"
"75","everyone"
"76","everything"
"77","everywhere"
"78","except"
"79","far"
"80","few"
"81","fewer"
"82","fifteen"
"83","fifteenth"
"84","fifth"
"85","fiftieth"
"86","fifty"
"87","first"
"88","five"
"89","for"
"90","fortieth"
"91","forty"
"92","four"
"93","fourteen"
"94","fourteenth"
"95","fourth"
"96","from"
"97","get"
"98","gets"
"99","getting"
"100","got"
"101","had"
"102","hadn't"
"103","has"
"104","hasn't"
"105","have"
"106","haven't"
"107","having"
"108","he"
"109","he'd"
"110","he'll"
"111","he's"
"112","hence"
"113","her"
"114","here"
"115","hers"
"116","herself"
"117","him"
"118","himself"
"119","his"
"120","hither"
"121","how"
"122","how'd"
"123","how'll"
"124","how's"
"125","however"
"126","hundred"
"127","hundredth"
"128","i"
"129","i'd"
"130","I'd"
"131","i'll"
"132","I'll"
"133","i'm"
"134","I'm"
"135","i've"
"136","I've"
"137","if"
"138","in"
"139","into"
"140","is"
"141","isn't"
"142","it"
"143","it'll"
"144","it's"
"145","its"
"146","itself"
"147","just"
"148","last"
"149","less"
"150","let's"
"151","many"
"152","may"
"153","me"
"154","might"
"155","million"
"156","millionth"
"157","mine"
"158","more"
"159","most"
"160","much"
"161","must"
"162","must've"
"163","mustn't"
"164","my"
"165","myself"
"166","near"
"167","nearby"
"168","nearly"
"169","neither"
"170","never"
"171","next"
"172","nine"
"173","nineteen"
"174","nineteenth"
"175","ninetieth"
"176","ninety"
"177","ninth"
"178","no"
"179","nobody"
"180","none"
"181","noone"
"182","nor"
"183","not"
"184","nothing"
"185","now"
"186","nowhere"
"187","of"
"188","off"
"189","often"
"190","on"
"191","once"
"192","one"
"193","only"
"194","or"
"195","other"
"196","others"
"197","ought"
"198","oughtn't"
"199","our"
"200","ours"
"201","ourselves"
"202","out"
"203","over"
"204","quite"
"205","rather"
"206","round"
"207","second"
"208","seven"
"209","seventeen"
"210","seventeenth"
"211","seventh"
"212","seventieth"
"213","seventy"
"214","shall"
"215","shan't"
"216","she"
"217","she'd"
"218","she'll"
"219","she's"
"220","should"
"221","should've"
"222","shouldn't"
"223","since"
"224","six"
"225","sixteen"
"226","sixteenth"
"227","sixth"
"228","sixtieth"
"229","sixty"
"230","so"
"231","some"
"232","somebody"
"233","someone"
"234","something"
"235","sometimes"
"236","somewhere"
"237","soon"
"238","still"
"239","such"
"240","ten"
"241","tenth"
"242","than"
"243","that"
"244","that'll"
"245","that's"
"246","the"
"247","their"
"248","theirs"
"249","them"
"250","themselves"
"251","then"
"252","thence"
"253","there"
"254","there'll"
"255","there's"
"256","therefore"
"257","these"
"258","they"
"259","they'd"
"260","they'll"
"261","they're"
"262","they've"
"263","third"
"264","thirteen"
"265","thirteenth"
"266","thirtieth"
"267","thirty"
"268","this"
"269","thither"
"270","those"
"271","though"
"272","thousand"
"273","thousandth"
"274","three"
"275","thrice"
"276","through"
"277","thus"
"278","till"
"279","to"
"280","today"
"281","tomorrow"
"282","too"
"283","towards"
"284","twelfth"
"285","twelve"
"286","twentieth"
"287","twenty"
"288","twice"
"289","two"
"290","under"
"291","underneath"
"292","unless"
"293","until"
"294","up"
"295","us"
"296","very"
"297","was"
"298","wasn't"
"299","we"
"300","we'd"
"301","we'll"
"302","we're"
"303","we've"
"304","were"
"305","weren't"
"306","what"
"307","what'd"
"308","what's"
"309","when"
"310","when'd"
"311","when'll"
"312","when's"
"313","whence"
"314","where"
"315","where'll"
"316","where's"
"317","whereas"
"318","which"
"319","while"
"320","whither"
"321","who"
"322","who'd"
"323","who'll"
"324","who's"
"325","whom"
"326","whose"
"327","why"
"328","why'd"
"329","why'll"
"330","why's"
"331","will"
"332","with"
"333","within"
"334","without"
"335","won't"
"336","would"
"337","would've"
"338","wouldn't"
"339","yes"
"340","yesterday"
"341","yet"
"342","you"
"343","you'd"
"344","you'll"
"345","you're"
"346","you've"
"347","your"
"348","yours"
"349","yourself"
"350","yourselves"
