"","x"
"1","ah"
"2","aha"
"3","ahem"
"4","argh"
"5","aw"
"6","aye"
"7","bah"
"8","blah"
"9","blech"
"10","boo"
"11","boohoo"
"12","booya"
"13","bwahhahhah"
"14","doh"
"15","duh"
"16","eek"
"17","eh"
"18","er"
"19","ew"
"20","feh"
"21","gak"
"22","ha"
"23","haha"
"24","hamanahamana"
"25","hardyharhar"
"26","heehee"
"27","hey"
"28","hist"
"29","hm"
"30","hmph"
"31","hoho"
"32","hohum"
"33","hubbahubba"
"34","huh"
"35","hup"
"36","hurrah"
"37","ick"
"38","lahdedah"
"39","mmhmm"
"40","mmm"
"41","mwah"
"42","neenerneener"
"43","now"
"44","oh"
"45","ohoh"
"46","ol"
"47","ooh"
"48","oohlala"
"49","oops"
"50","ouch"
"51","oy"
"52","pff"
"53","pfft"
"54","phew"
"55","poof"
"56","pooh"
"57","pshaw"
"58","psst"
"59","rah"
"60","shh"
"61","sis"
"62","tchah"
"63","tsktsk"
"64","ugh"
"65","uh"
"66","uhhuh"
"67","uhoh"
"68","uhuh"
"69","um"
"70","vavavoom"
"71","whee"
"72","whew"
"73","whoa"
"74","whoopdedoo"
"75","woo"
"76","wow"
"77","yay"
"78","yikes"
"79","yohoho"
"80","yoohoo"
"81","yow"
"82","yuck"
"83","yum"
"84","zoinks"
"85","zowie"
"86","aaah"
"87","aaaahh"
"88","a-ha"
"89","ahhh"
"90","aww"
"91","awww"
"92","booh"
"93","brrrr"
"94","eeeek"
"95","ewwww"
"96","grrrr"
"97","hmmmm"
"98","yuk"
"99","mmhm"
"100","uh-hu"
"101","mmh"
"102","oooh"
"103","oh-lala"
"104","umph"
"105","oww"
"106","oi"
"107","oyh"
"108","pffh"
"109","pssh"
"110","jeez"
"111","tut-tut"
"112","mhm"
"113","oh-oh"
"114","uhm"
"115","err"
"116","ich"
"117","bada-zing"
"118","ba-dump tish"
"119","aah"
"120","ahh"
"121","brr"
"122","eep"
"123","eww"
"124","grr"
"125","hmm"
"126","meh"
"127","mm"
"128","ooh-la-la"
"129","oomph"
"130","ow"
"131","sheesh"
"132","tsk-tsk"
"133","uh-oh"
"134","uhh"
"135","zing"
"136","um"
"137","umm"
"138","okay"
"139","ok"
