,vader,textblob,huliu,syuzhet,jockers_rinker,sentiword,senticnet
0,0.4497,0.14,-1.0,1.3,1.3,0.1666666666666669,1.979
1,0.0,-0.4,0.0,0.0,0.0,0.25,0.598
2,0.6597,0.0,1.0,1.25,1.25,0.25,3.472
3,0.2732,0.18,-2.0,-0.75,-1.0,0.0625,0.0969999999999999
4,-0.1531,0.0,0.0,-0.25,-0.25,0.4375,0.8450000000000001
5,0.5719,1.0,0.0,-0.6000000000000001,-0.6000000000000001,-1.2291666666666663,-0.6529999999999999
6,0.8555,0.5,6.0,3.0,3.0,0.75,4.171
7,-0.4215,-0.16,-2.0,0.95,0.95,1.6145833333333337,-0.2590000000000003
8,0.3612,-0.13,1.0,1.15,1.15,-0.375,1.733
9,-0.6652,-0.42,-2.0,-1.5,-1.5,-0.5,-1.224
10,-0.0258,0.04,-2.0,0.7000000000000001,-0.0999999999999999,-0.3958333333333332,2.092
11,0.6908,0.05,-1.0,0.5,0.5,0.0,0.0399999999999998
12,0.4588,0.31,1.0,0.5,0.5,0.441666666666667,0.4509999999999997
13,0.0,0.0,0.0,0.0,0.0,0.0,0.846
14,-0.4767,-0.34,-1.0,-0.75,-0.75,0.15,-1.113
15,0.2382,0.0,1.0,2.05,2.05,-1.020833333333333,2.269
16,0.0,0.0,0.0,0.4,0.4,0.15625,0.15
17,0.0,0.25,0.0,0.0,0.0,0.375,0.0169999999999999
18,0.1406,0.0,0.0,0.5,0.5,-0.75,0.7779999999999999
19,-0.4404,0.0,0.0,-0.8,-0.8,-0.5,1.7040000000000002
20,-0.4019,0.0,-2.0,-1.0,-2.0,0.0,-0.14
21,0.5574,0.03,1.0,1.3,1.3,1.3556,4.886999999999999
22,0.0,0.25,0.0,0.0,0.0,0.25,0.046
23,-0.3612,-0.25,-1.0,-0.5,-0.5,-1.1875,1.05
24,0.4019,0.0,0.0,0.25,0.25,1.083333333333333,1.732
25,0.0,0.0,0.0,0.0,0.0,1.0,1.919
26,0.3818,0.25,2.0,1.0,1.0,0.0535714285714286,1.527
27,0.3612,0.0,0.0,0.0,0.0,0.5,-0.393
28,0.7269,0.0,2.0,1.25,1.25,0.0,2.038
29,0.0,-0.05,0.0,-0.25,-0.25,-1.614583333333333,1.977
30,-0.34,0.0,0.0,-0.25,-0.25,-0.5625,0.815
31,0.0,0.0,0.0,0.0,0.0,0.375,0.17
32,0.0,0.0,0.0,0.0,0.0,0.5625,0.657
33,0.7351,0.2,3.0,2.4,2.4,0.5,2.345
34,-0.296,0.4,-1.0,-1.0,-1.0,-0.125,-0.055
35,0.34,0.38,1.0,1.15,1.15,0.0,0.6639999999999999
36,0.2263,0.43,2.0,1.1,1.1,0.708333333333333,2.045
37,0.0,0.0,-1.0,0.0,-1.0,0.1375,0.149
38,0.1406,0.21,0.0,0.8,0.0,-0.125,0.397
39,0.0,0.0,0.0,0.1,0.1,0.0,0.68
40,0.3818,0.02,1.0,0.0,0.0,0.8333333333333337,1.561
41,0.2732,0.27,1.0,1.2999999999999998,1.2999999999999998,-0.2485666666666666,2.066
42,0.3167,-0.02,1.0,1.5499999999999998,1.5499999999999998,1.0,0.017
43,0.4404,0.14,1.0,0.75,0.75,0.125,1.227
44,0.7579,0.3,0.0,2.9000000000000004,2.9000000000000004,0.716666666666667,2.1990000000000003
45,0.0,0.0,0.0,0.0,0.0,-0.916666666666667,-0.885
46,0.6124,0.2,1.0,1.4,1.4,0.125,3.2470000000000003
47,0.0,0.0,0.0,0.25,0.25,0.25,0.903
48,0.872,-0.08,1.0,1.4500000000000002,0.45,0.7187499999999998,-0.057
49,0.0,0.0,0.0,0.0,0.0,0.0,-0.6
50,0.0516,0.0,0.0,0.5,0.5,0.21875,2.168
51,-0.4118,-0.05,0.0,0.25,0.25,-0.25,0.5030000000000001
52,0.0,-0.05,0.0,0.0,0.0,0.25,1.627
53,0.1779,0.2,1.0,0.8,0.8,-0.09375,2.2299999999999995
54,0.0,-0.3,0.0,-0.25,-0.25,0.0,-0.541
55,0.0,0.5,0.0,0.0,0.0,0.375,0.5780000000000001
56,0.6778,0.16,1.0,2.0,2.0,1.25,2.188
