,vader,textblob,huliu,syuzhet,jockers_rinker,sentiword,senticnet
57,0.1027,0.0,0.0,-0.3999999999999999,-0.3999999999999999,0.5416666666666667,0.7149999999999999
58,-0.2023,0.0,0.0,0.25,0.25,0.125,1.368
59,0.4215,0.1,1.0,0.75,0.75,0.1875,1.294
60,0.0,0.0,0.0,0.25,0.25,0.0,0.012
61,0.0,-0.08,0.0,0.0,0.0,0.125,0.7030000000000001
62,0.5994,0.1,1.0,0.9,0.9,0.0,0.89
63,0.0,0.0,0.0,0.0,0.0,0.0,1.48
64,0.0,-0.15,0.0,0.0,0.0,0.0,0.714
65,-0.7351,0.03,-2.0,-0.7,-0.7,0.0,0.557
66,0.5719,0.0,1.0,1.15,1.15,-0.125,1.726
67,0.9451,0.16,1.0,1.5,1.7000000000000002,1.6145833333333333,3.585
68,0.34,0.14,1.0,1.6,1.6,0.0625,0.8140000000000001
69,0.0,-0.12,0.0,0.65,0.65,1.0625,0.788
70,0.5267,0.0,1.0,0.85,0.85,-0.0625,1.046
71,0.5719,0.1,3.0,2.6,2.6,-0.020833333333333,2.654
72,0.4939,0.0,1.0,0.5,0.5,-0.625,0.14
73,-0.5859,0.0,-1.0,0.15,0.15,-0.286458333333333,1.855
74,0.4404,0.7,1.0,0.75,0.75,0.46875,0.664
75,0.0,0.0,0.0,0.3,0.3,0.8125,-1.11
76,0.6369,0.5,1.0,1.35,1.35,0.375,-0.3439999999999998
77,0.0,0.0,0.0,0.6,0.6,0.0,-0.71
78,0.0,0.0,-1.0,-0.5,-0.5,-0.75,0.7290000000000001
79,0.128,-0.12,-1.0,0.0,0.0,0.25,0.1869999999999999
80,0.0,0.0,0.0,0.0,0.0,0.0,0.725
81,-0.34,0.03,0.0,-0.6,-0.6,0.3125,1.854
82,-0.4404,-0.6,-1.0,-0.75,-0.75,-0.75,-0.58
83,0.3182,-0.05,0.0,0.0,0.0,-0.333333333333333,0.101
84,0.0,0.0,0.0,0.0,0.0,-0.125,0.6
85,0.738,0.08,0.0,2.65,2.65,0.6875,1.3960000000000004
86,0.4019,0.17,1.0,0.75,0.75,-0.125,1.013
87,0.0,0.0,-1.0,-0.25,-0.25,-0.6875,1.29
88,0.0,0.0,-1.0,-0.4,-0.4,-0.35,2.316
89,0.0,0.0,0.0,0.0,0.0,-0.5,-0.56
90,0.4404,0.35,0.0,1.05,1.05,-0.2916666666666669,2.341
91,-0.25,0.0,-1.0,-0.75,-0.75,0.125,0.0
92,-0.5432,-0.22,0.0,-0.7999999999999999,-0.7999999999999999,-1.708333333333333,-1.1960000000000002
93,0.743,-0.12,1.0,0.9,0.9,0.0,1.629
94,0.4201,0.13,1.0,0.5,0.5,1.0,1.566
95,0.2732,0.0,0.0,0.35,0.35,-0.03125,0.3600000000000001
96,-0.5423,-0.5,-1.0,-0.75,-0.75,-0.25,0.215
97,-0.0662,0.0,-2.0,-1.25,-1.25,-1.0625,-0.131
98,0.296,-0.5,-1.0,0.7,0.7,0.25,0.6199999999999999
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,-0.608,0.03,0.0,0.25,0.25,-0.875,0.2850000000000001
101,0.0,0.0,0.0,0.0,0.0,-0.125,-0.3289999999999999
102,0.0,0.0,0.0,0.0,0.0,0.5,0.597
103,0.0,0.0,0.0,0.0,0.0,0.166666666666667,1.108
104,-0.5023,0.0,-1.0,-0.5,-0.5,-0.916666666666667,0.151
105,0.0,-0.11,0.0,0.0,0.0,-0.0625,-0.0799999999999999
106,0.0,0.0,0.0,0.0,0.0,0.4,0.143
107,0.0,0.0,0.0,0.0,0.0,0.0,-0.7
108,0.34,0.0,1.0,0.5,0.5,0.0,0.606
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,0.1531,0.0,1.0,0.5,0.5,-0.25,0.421
111,0.0,0.38,0.0,0.8,0.8,0.0,0.909
112,0.0,0.0,0.0,0.4,0.4,0.625,0.613
113,0.1779,0.25,0.0,0.8,0.8,-1.375,0.759
114,0.0,0.0,0.0,0.0,0.0,0.75,-1.513
115,0.4939,0.0,0.0,0.8,0.8,0.0,0.645
116,0.6369,0.05,0.0,0.3,0.3,0.083333333333333,0.895
117,0.3182,0.0,0.0,0.0,0.0,0.375,-0.079
118,0.0,0.17,0.0,0.15,0.15,0.0,1.762
119,0.4767,0.1,0.0,0.0,0.0,-0.5625,0.3900000000000001
120,0.4939,-0.12,-1.0,1.35,1.35,0.208333333333333,2.116
121,-0.0516,0.0,0.0,-0.25,-0.25,-0.1875,0.031
122,0.0,0.0,0.0,0.0,0.0,-0.0625,-0.2029999999999999
123,0.3182,-0.25,0.0,0.0,0.0,0.375,0.371
124,0.4404,0.2,1.0,1.0,1.0,0.5,0.32
125,0.0,-0.2,1.0,0.6,0.6,-0.875,0.6439999999999999
126,0.0,0.0,0.0,0.0,0.0,0.0,-1.52
127,0.8662,0.4,0.0,-1.25,-0.25,0.5104166666666667,-1.581
128,0.0,0.0,0.0,0.0,0.0,-0.25,-0.19
129,0.7506,0.38,1.0,1.65,1.65,0.375,1.1709999999999998
130,0.0,0.0,0.0,0.0,0.0,0.0,0.352
131,-0.296,-0.2,-1.0,-0.75,-0.75,0.025,0.215
132,0.8271,0.0,3.0,1.75,1.75,0.125,2.8920000000000003
133,-0.3818,-0.01,0.0,-0.65,-0.65,0.0625,-0.0889999999999999
134,0.8674,0.5,3.0,2.0,2.0,1.427083333333333,1.7980000000000005
135,0.0,0.0,0.0,0.0,0.0,0.0,-0.76
136,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,0.0,0.0,0.0,0.0,0.0,0.0,0.0409999999999999
138,0.0,0.0,0.0,0.6,0.6,0.0,-0.5499999999999999
139,0.6908,0.08,0.0,-0.1,-0.1,-0.125,0.7489999999999997
140,0.0,0.0,0.0,0.0,0.0,0.625,1.799
141,-0.4173,0.25,0.0,-2.1,-2.1,-0.1666666666666666,2.4200000000000004
142,-0.2924,-0.17,0.0,-0.55,-0.55,0.375,0.539
143,0.0,0.0,0.0,1.05,1.05,1.125,-0.6549999999999999
144,-0.3612,-0.01,-2.0,-0.75,-0.75,1.0,-0.472
145,0.6238,-0.01,0.0,-0.5,-0.5,-1.681,0.0779999999999998
146,-0.9493,-0.05,-4.0,-2.95,-2.95,-0.4083333333333333,-0.8180000000000004
147,0.0,-0.19,0.0,0.0,0.0,0.1875,0.979
148,0.0516,0.2,0.0,1.05,0.8,-0.125,2.139
149,0.25,0.05,-2.0,0.6,0.6,0.0,0.6339999999999999
150,0.128,0.2,1.0,2.1,2.1,-0.03125,1.465
151,0.2263,0.0,0.0,0.25,0.25,0.0625,0.882
152,0.0,-0.17,0.0,0.0,0.0,-0.333333333333333,1.126
153,-0.296,0.0,0.0,0.0,0.0,0.0625,0.09
154,0.2263,0.05,0.0,0.6,0.6,-0.532142857142857,-1.2799999999999998
155,0.3919,-0.05,1.0,1.85,1.05,-0.4375,0.0169999999999999
156,0.7351,0.06,2.0,1.85,1.85,-1.0416666666666667,1.12
157,0.4019,0.0,0.0,1.0,1.0,0.5,0.398
158,-0.1531,0.0,0.0,0.0,0.0,-0.4375,-2.207
159,-0.296,-0.19,-1.0,-0.5,-0.5,-0.09375,-0.626
160,0.0,-0.5,0.0,-0.25,-0.25,0.4791666666666667,-0.1039999999999999
161,0.8658,0.13,1.0,0.75,0.75,0.5625,0.652
162,-0.5423,0.0,0.0,-0.5,-0.5,0.125,1.424
163,0.6249,0.27,1.0,1.2000000000000002,1.2000000000000002,0.4166666666666669,0.8160000000000001
164,0.4588,0.0,1.0,0.6,0.6,-0.0416666666666667,-1.0599999999999998
165,-0.6486,-0.25,-1.0,-1.5,-1.5,-1.125,-0.44
166,-0.128,-0.2,0.0,-0.6,-0.6,-0.4166666666666669,-0.5499999999999999
167,0.0,0.0,0.0,0.6,0.6,0.8125,0.274
168,0.0,-0.15,-1.0,-0.6,-0.6,-1.0625,0.873
169,0.0,0.0,0.0,0.6,0.6,0.125,0.037
170,0.0,0.0,-1.0,-0.25,-0.25,-0.25,0.0
171,0.0,0.0,0.0,0.8,0.8,0.625,0.657
172,-0.3818,0.1,-1.0,-1.25,-1.25,-0.125,-0.145
173,0.2263,-0.03,-2.0,0.6,0.6,0.9166666666666669,0.6329999999999997
174,0.4939,0.0,0.0,0.0,0.0,0.125,-0.0579999999999999
175,0.0,0.0,0.0,0.4,0.4,-0.625,0.917
176,0.0,0.0,0.0,0.0,0.0,0.5,-0.014
177,0.0,0.0,0.0,0.0,0.0,0.0,-0.841
178,0.0,-0.05,0.0,0.0,0.0,0.125,0.085
179,0.0,-0.04,0.0,0.0,0.0,0.0,0.6729999999999998
180,0.0,-0.25,0.0,0.0,0.0,0.125,-1.572
181,0.34,0.43,0.0,0.0,0.0,0.291666666666667,0.314
182,0.0,0.0,0.0,0.25,0.25,0.03125,0.1239999999999998
183,0.0,0.0,0.0,0.0,0.0,-1.0625,0.713
184,0.25,0.0,0.0,0.5,0.5,-0.375,0.571
185,-0.4588,-0.5,-1.0,-0.35,-0.35,-0.4015,1.866
186,0.0,0.0,-2.0,-0.5,-0.5,-0.1875,0.7270000000000001
187,0.2263,0.0,-1.0,-0.75,-0.75,0.25,0.3370000000000001
188,-0.1531,-0.15,-1.0,0.3,0.3,0.55,-0.7390000000000001
189,-0.5106,-0.8,-1.0,-1.0,-1.0,0.0,-0.53
190,0.0,0.0,0.0,0.0,0.0,-0.25,0.099
191,0.0,0.0,0.0,0.0,0.0,0.125,0.931
192,0.0,-0.08,1.0,-0.25,-0.25,0.75,1.21
193,0.0,0.0,0.0,0.0,0.0,0.625,-0.72
194,-0.2263,-0.25,-1.0,-0.75,-0.75,-0.5625,-0.002
195,-0.3818,0.0,-2.0,-1.25,-1.25,0.0,-1.7000000000000002
196,0.4939,0.6,0.0,1.3,1.3,0.375,1.892
197,0.0,0.0,0.0,0.0,0.0,0.0625,0.926
198,0.0,-0.4,0.0,-0.25,-0.25,-0.5,-1.629
199,-0.188,-0.5,-1.0,-0.5,-0.5,-0.0625,-0.4
200,0.3612,0.26,1.0,0.5,0.5,0.375,0.0
201,0.0,0.0,0.0,0.0,0.0,0.2,0.038
202,-0.5423,0.0,-1.0,-0.75,-0.75,-0.25,-0.49
203,-0.8573,0.0,0.0,-0.5,-0.5,-0.46875,0.0129999999999998
204,0.6486,0.2,1.0,0.75,0.75,-0.4125,1.966
205,0.0,0.0,0.0,0.0,0.0,0.0,1.823
206,0.0,-0.67,-1.0,0.0,0.0,0.125,-0.252
207,0.0,0.0,0.0,0.0,0.0,-1.75,2.17
208,0.0,0.0,-1.0,-0.75,-0.75,-0.625,-0.09
209,0.0,0.0,0.0,-0.5,-0.5,-0.5,-0.49
210,0.0,0.0,0.0,0.0,0.0,0.125,0.0
211,-0.2732,0.0,-1.0,-0.5,-0.5,0.25,0.2489999999999998
212,-0.296,-0.08,0.0,0.4,0.4,-0.304166666666667,1.209
213,0.0,0.0,0.0,0.0,0.0,-0.375,0.039
214,0.6369,0.5,1.0,0.75,0.75,0.375,0.655
215,0.3626,-0.17,-1.0,0.8,0.8,0.895833333333333,-0.0739999999999999
216,0.4588,-0.25,1.0,0.25,0.25,-0.5416666666666667,2.092
217,0.0,0.3,0.0,0.5,0.5,0.270833333333333,0.047
218,-0.5499,-0.5,-1.0,-0.75,-0.75,0.0125,-0.072
219,0.3089,-0.5,-1.0,-0.75,-0.75,-0.2083333333333333,-0.11
220,0.0,0.0,0.0,-0.25,-0.25,0.020833333333333,1.343
221,0.6369,0.5,1.0,0.75,0.75,0.375,1.568
222,0.0,0.0,0.0,0.6,0.6,-0.625,0.876
223,0.0,0.0,0.0,0.6,0.6,-0.5208333333333333,0.713
224,0.0,0.0,0.0,0.0,0.0,0.40625,3.284
225,0.4767,0.05,0.0,1.2,1.2,0.0,-1.4560000000000002
226,0.0,0.0,0.0,0.0,0.0,0.375,0.049
227,0.0,0.0,0.0,0.0,0.0,0.125,0.517
228,-0.3182,-0.12,-1.0,-0.75,-0.75,-0.875,0.2319999999999998
229,-0.3818,0.0,-1.0,-0.75,-0.75,-0.5833333333333333,-0.5289999999999999
230,0.0,-0.16,-1.0,-0.25,-0.25,-0.40625,-0.2319999999999999
231,-0.2003,0.0,-1.0,0.15,0.15,1.125,0.476
232,0.0,0.0,0.0,0.0,0.0,0.025,0.4429999999999999
233,0.6369,0.34,-1.0,-1.7000000000000002,-1.7000000000000002,-0.075,-0.823
234,-0.5267,-0.14,-1.0,-0.65,-0.65,0.25,-0.298
235,0.0,-0.01,0.0,0.0,0.0,0.275,0.399
236,0.0,-0.3,0.0,-1.1,-1.1,0.379166666666667,-0.918
237,-0.4754,0.1,-1.0,-0.35,-0.35,0.375,-1.13
238,-0.4019,-0.08,-2.0,-0.8,-0.8,0.3125,-0.6780000000000002
239,-0.0258,0.5,2.0,0.25,1.25,-1.0,0.039
240,0.0,0.0,0.0,0.0,0.0,1.125,-0.511
241,0.0,0.0,0.0,0.0,0.0,0.541666666666667,1.575
242,0.7783,0.7,2.0,1.5,1.5,0.5625,1.863
243,0.0,0.0,0.0,0.0,0.0,0.25,0.0
244,0.4019,0.5,0.0,0.55,0.55,0.3124999999999997,2.648
245,0.0,0.33,1.0,0.6,0.6,-0.25,1.039
246,-0.7579,-0.29,-2.0,-0.5,-0.5,-0.7209821428571429,-0.5040000000000001
247,0.0,0.05,0.0,0.6,0.6,0.28125,0.941
248,0.0,0.1,0.0,0.6,0.6,-0.375,-0.637
249,-0.296,0.0,0.0,0.6,0.6,0.7291666666666667,2.597
250,0.25,0.0,1.0,1.0,1.0,0.65625,-2.6009999999999995
251,-0.6486,0.0,-2.0,-0.4499999999999999,-0.4499999999999999,-1.083333333333333,-0.335
252,0.4019,0.0,0.0,1.2,1.2,-1.1979166666666667,3.112
253,0.2023,-0.22,0.0,0.2500000000000001,0.2500000000000001,0.5,-0.0279999999999999
254,-0.3182,0.2,0.0,-0.1,-0.1,0.5,0.204
255,0.0,0.0,0.0,0.25,0.25,-0.75,3.4400000000000004
256,-0.3182,0.0,-1.0,-0.85,-0.85,0.125,-0.0569999999999999
257,0.4588,0.0,0.0,0.6,0.6,-0.375,0.197
258,0.3612,0.0,1.0,0.4,0.4,0.53125,0.7040000000000001
259,-0.34,-0.15,0.0,-1.25,-1.25,-0.208333333333333,0.5620000000000005
260,0.0,0.0,0.0,0.0,0.0,0.125,1.233
261,0.0,0.03,0.0,0.8,0.8,0.5,0.414
262,0.0,0.0,2.0,1.35,1.35,0.2306,1.856
263,0.7096,0.7,1.0,1.65,1.65,0.583333333333333,1.697
264,0.8402,0.22,2.0,1.8,1.8,0.53125,1.5570000000000002
265,0.4588,0.5,1.0,0.5,0.5,0.4166666666666667,2.425
266,0.3291,0.2,-1.0,0.0999999999999999,0.0999999999999999,-1.001388888888889,-0.4369999999999999
267,0.0,0.0,0.0,0.0,0.0,-0.625,0.013
268,0.0,-0.17,1.0,0.55,0.55,0.875,1.737
269,0.0,0.0,1.0,0.65,0.65,-0.375,0.1089999999999999
270,0.0,0.0,0.0,0.0,0.0,0.0,-1.806
271,0.0,0.0,0.0,0.0,0.0,0.125,0.3530000000000001
272,0.0,0.3,0.0,0.0,0.0,0.0,0.113
273,-0.3612,0.0,-1.0,-1.75,-1.75,0.0625,-0.862
274,-0.5719,0.0,0.0,0.25,0.25,-0.5,-0.5869999999999997
275,0.0,0.0,0.0,0.0,0.0,0.0,-0.02
276,-0.5574,0.5,-1.0,-1.25,-0.25,0.0,0.262
277,0.4215,0.0,0.0,0.8,0.8,-0.5,0.713
278,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,0.25,0.0,1.0,1.1,1.1,0.03125,0.381
280,0.0,0.0,0.0,0.6,0.6,0.425,0.718
281,0.0,0.0,0.0,-0.6,-0.6,0.375,-0.79
282,0.0,0.21,1.0,1.0,1.0,-0.25,0.817
283,0.6486,0.35,2.0,2.55,2.55,0.541666666666667,4.675
284,-0.434,0.0,0.0,-0.25,-0.25,-0.15625,-0.764
285,0.0,0.29,1.0,0.8,0.8,0.3125,0.754
286,0.0,-0.3,0.0,0.35,0.35,-0.25,-0.5369999999999999
287,0.0,0.0,0.0,0.6,0.6,0.0,0.032
288,0.1027,-0.02,0.0,0.0,0.0,-0.2583333333333329,1.4859999999999998
289,0.0,0.12,0.0,0.0,0.0,-0.291666666666667,2.3800000000000003
290,0.4404,0.1,1.0,1.0,1.0,0.25,0.2749999999999999
291,0.0,0.0,0.0,0.1,0.1,0.0,1.195
292,0.4215,0.5,1.0,0.0,1.0,-0.1875,1.912
293,0.34,-0.18,0.0,0.0,0.0,-1.083333333333333,0.997
294,0.0,0.0,0.0,0.0,0.0,0.0,0.132
295,0.1779,0.13,2.0,1.2,1.2,-2.9875,1.757
296,0.0,0.0,1.0,0.0,1.0,0.25,-0.582
297,0.0,0.0,0.0,-0.5,-0.5,-0.3125,-0.6419999999999999
298,0.0,0.1,0.0,0.0,0.0,0.0625,0.867
299,0.0,-0.3,0.0,0.0,0.0,0.375,-0.891
300,0.0,0.0,-2.0,-0.6,-0.6,-1.0,-1.073
301,0.5423,0.5,0.0,0.6,0.6,-0.375,1.833
302,0.0,-0.07,-1.0,-0.6,-0.6,-1.3125,-1.3440000000000003
303,0.0,-0.6,-1.0,-0.5,-0.5,-0.71875,-0.443
304,0.0,-0.12,0.0,0.0,0.0,0.0,0.672
305,0.25,0.0,1.0,1.35,1.35,-0.229166666666667,0.6349999999999999
306,0.5719,1.0,1.0,1.0,1.0,0.875,1.118
307,0.0,0.0,0.0,0.0,0.0,0.458333333333333,0.175
308,0.0,0.05,0.0,0.0,0.0,0.125,0.712
309,-0.684,-0.32,-1.0,0.3,0.3,0.3125,1.503
310,0.0,0.0,0.0,0.0,0.0,-0.5,0.717
311,0.5859,0.45,0.0,0.5,0.5,0.375,-0.0249999999999999
312,-0.4767,-1.0,-1.0,0.4499999999999999,0.4499999999999999,-0.708333333333333,-0.7770000000000001
313,0.0,0.0,1.0,0.0,1.0,0.6875,1.186
314,-0.1779,0.25,0.0,0.5,0.5,0.28125,-1.0
315,-0.3089,0.36,0.0,0.9,0.9,0.0,-0.046
316,-0.3291,0.0,0.0,-0.8,-0.8,-0.45,-0.175
317,0.3182,0.2,1.0,0.6,0.6,-0.3125,0.721
318,0.128,-0.1,0.0,0.25,0.25,-0.40625,0.5579999999999998
319,0.0,-0.01,0.0,-0.25,-0.25,-0.3125,-0.875
320,0.4939,0.6,1.0,0.5,0.5,0.5,0.4549999999999999
321,0.0,-0.12,0.0,0.0,0.0,0.5,0.56
322,0.0,0.0,1.0,0.8,1.8,0.854166666666667,0.584
323,-0.2732,0.08,0.0,-0.35,0.65,0.34375,1.392
324,0.0,0.0,0.0,0.85,0.85,0.375,0.709
325,0.0,-0.5,-1.0,-0.5,-0.5,0.375,0.0
326,0.0,0.0,0.0,0.25,0.25,1.2895833333333335,2.163
327,0.0,0.0,0.0,0.25,0.25,0.0,-0.272
328,-0.2732,-0.5,-1.0,-0.5,-0.5,0.1875,-0.279
329,0.0,-0.17,0.0,0.0,0.0,-0.333333333333333,0.744
330,0.4588,0.0,-1.0,0.25,0.25,0.875,1.343
331,0.5859,0.0,1.0,0.5,0.5,-0.208333333333333,-0.1079999999999999
332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
333,0.2732,0.0,1.0,0.8,0.8,0.4806,0.719
334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
335,0.0,0.0,0.0,0.0,0.0,-0.075,1.599
336,0.0,0.0,0.0,0.6,0.6,0.5625,0.684
337,0.0,0.0,0.0,0.0,0.0,0.125,0.063
338,-0.6349,0.0,0.0,0.25,0.25,0.0,0.3419999999999999
339,0.0,0.0,0.0,0.6,0.6,1.15625,0.6840000000000002
340,0.0,0.0,0.0,0.25,0.25,-0.5,1.019
341,0.0,0.0,0.0,0.0,0.0,0.28125,0.0
342,-0.296,0.25,-1.0,-0.1999999999999999,-0.1999999999999999,0.3125,-0.4619999999999999
343,-0.296,0.0,-1.0,0.0999999999999999,0.0999999999999999,-0.333333333333333,0.3929999999999999
344,0.6124,0.35,1.0,0.85,0.85,0.46875,1.11
345,0.1531,0.08,0.0,0.0,0.0,0.55,-0.219
346,0.5859,0.08,0.0,0.8,0.8,0.5,-0.261
347,0.0,0.0,0.0,0.25,0.25,0.5,0.579
348,0.34,0.0,0.0,0.5,0.5,-0.0625,0.607
349,-0.2023,-0.05,-1.0,-0.75,-0.75,0.0,-0.26
350,0.0,0.0,0.0,0.4,0.4,-0.7083333333333337,0.6320000000000001
351,0.5106,0.4,1.0,0.25,0.25,-0.2625,0.925
352,0.836,0.7,1.0,0.25,0.25,0.4166666666666669,0.764
353,0.4939,0.0,0.0,1.0,1.0,0.0625,1.081
354,-0.6908,-0.3,-1.0,-1.0,-1.0,-0.8268333333333331,-0.1120000000000001
355,-0.7783,0.1,-1.0,-1.35,-1.35,-0.25,1.892
356,-0.743,-0.25,-1.0,-0.15,-0.15,-0.63125,1.223
357,0.25,0.0,1.0,0.4,0.4,0.125,0.233
358,0.7783,0.5,2.0,1.9,1.9,0.375,0.374
359,0.0,0.1,-1.0,-0.25,-0.25,0.0,0.065
360,0.4019,0.0,0.0,0.4,0.4,-0.125,0.148
361,0.0,0.0,0.0,0.0,0.0,0.0,0.0
362,-0.2755,0.0,1.0,0.5,0.5,0.375,-1.48
363,0.7783,1.0,1.0,0.5,0.5,1.375,1.228
364,0.0,0.0,0.0,0.0,0.0,-0.208333333333333,1.295
365,0.0,0.0,1.0,0.25,0.25,0.125,0.241
366,0.5719,0.35,1.0,1.0,1.0,-0.3125,0.4329999999999999
367,-0.5267,0.14,-1.0,0.05,0.05,-0.541666666666667,-0.4570000000000001
368,-0.1531,0.0,0.0,0.0,0.0,0.0758928571428569,0.92
369,0.34,-0.11,0.0,0.0,0.0,0.0,0.603
370,-0.296,-0.05,0.0,-0.7,-0.7,-0.3265,-3.585
371,0.5267,0.05,-1.0,0.5,0.5,0.75,0.967
372,0.0,0.0,0.0,0.0,0.0,0.28125,0.994
373,0.296,0.14,0.0,1.5499999999999998,0.8,-0.049107142857143,0.344
374,0.0,0.0,0.0,0.0,0.0,0.125,0.0
375,0.0,0.0,0.0,0.0,0.0,0.0,-1.36
376,-0.0772,0.0,-1.0,-0.6,-0.6,0.375,0.1619999999999999
377,0.0,-0.08,0.0,0.4,0.4,-0.416666666666667,0.798
378,0.0,-0.13,-1.0,-0.85,-0.85,-1.28125,-0.9850000000000002
379,0.3612,-0.18,1.0,0.5,0.5,0.5,0.161
380,0.0,0.0,0.0,0.0,0.0,0.25,-0.027
381,0.0,0.0,-1.0,-0.5,-0.5,-0.35,0.2519999999999998
382,-0.1027,0.0,-1.0,-0.5,-0.5,0.125,0.0669999999999999
383,0.3818,0.0,1.0,0.85,0.85,0.125,1.019
384,-0.2023,-0.05,-1.0,-0.75,-0.75,0.041666666666667,0.6909999999999997
385,0.4019,0.23,1.0,1.0,1.0,-0.375,-0.4319999999999999
386,-0.296,0.0,0.0,0.0,0.0,0.5,1.281
387,0.0,0.0,0.0,0.6,0.6,0.0,0.7919999999999999
388,0.0,-0.2,0.0,-0.5,-0.5,-0.0375,0.097
389,0.0,0.0,0.0,0.0,0.0,0.375,1.376
390,0.0,0.0,0.0,0.0,0.0,0.25,0.072
391,0.0,0.0,0.0,0.0,0.0,0.3125,-0.608
392,0.0,0.0,0.0,0.0,0.0,0.3125,-1.46
393,0.0,0.0,0.0,0.0,0.0,0.0,-0.492
394,0.2263,0.2,0.0,0.6,0.6,-1.05,0.994
395,0.0,0.1,0.0,-0.25,-0.25,0.5,1.854
